,0,1,2,3,4,5,6,7,8,9
8086,96,52,19,26,24,55,82,88,39,39
51166,78,17,40,54,47,70,46,85,26,52
195827,92,95,50,80,70,90,30,86,76,59
79719,70,55,46,63,28,12,78,41,69,46
22848,0,25,6,58,18,27,20,30,99,34
28971,90,4,27,19,5,78,44,17,13,57
14,11,65,40,86,90,61,38,67,1,23
16,3,77,14,5,45,51,7,40,5,49
132949,56,60,12,27,4,70,2,12,34,28
60496,2,40,14,63,41,13,9,98,76,16
10157,26,70,9,35,15,57,14,11,48,30
26574,3,12,3,46,54,48,25,64,33,97
18,49,77,73,58,18,92,14,96,76,49
10351,51,6,11,49,54,23,19,18,10,17
22,15,84,9,45,71,1,7,25,17,35
10057,93,36,34,54,2,56,62,91,37,21
5825,24,0,20,74,44,0,19,70,10,56
5826,46,49,51,2,71,92,87,96,72,60
6059,0,52,19,29,24,55,82,88,39,39
23,92,40,61,46,7,48,25,10,33,97
10061,92,28,91,80,7,13,76,64,44,7
9619,2,40,91,46,20,13,25,10,44,97
11057,43,6,3,38,68,48,19,40,44,56
10006,37,6,47,4,70,90,12,58,76,35
10152,61,12,61,80,7,62,9,98,3,11
25,90,70,33,2,40,11,93,17,60,52
3983,6,36,15,22,58,41,84,62,34,88
29,64,42,40,70,42,29,84,17,74,46
29777,27,38,16,28,47,15,15,38,38,15
30,40,95,50,40,71,92,87,96,72,0
10449,49,70,73,4,10,42,30,65,19,49
80724,94,89,89,14,38,18,24,4,49,67
34,80,56,22,97,14,31,55,63,53,43
36,61,28,3,38,10,62,5,64,69,11
37,17,44,32,9,58,40,10,42,2,46
23527,46,95,50,4,71,92,87,96,72,64
38,19,55,98,19,28,19,14,11,48,31
39,9,33,28,16,90,93,84,12,17,1
64746,91,33,1,47,25,6,62,57,38,29
91452,19,31,40,2,58,19,68,45,97,52
84320,17,68,4,56,89,28,85,33,70,40
65057,55,21,0,28,74,7,67,3,90,22
55331,92,40,14,80,41,62,76,10,33,97
22985,2,6,91,38,16,13,25,10,44,56
47,59,95,61,73,44,90,9,84,33,59
48,26,84,72,58,16,57,7,45,17,0
50,39,99,33,33,45,12,93,94,54,31
55856,49,99,98,58,28,11,96,27,17,60
10965,42,50,67,88,61,57,96,0,97,68
11332,2,40,14,80,68,13,76,37,33,97
10005,7,21,82,18,22,40,51,62,22,87
23597,20,40,14,73,68,90,5,98,3,66
51,38,50,15,3,57,19,17,8,34,88
52,55,36,1,42,61,6,32,0,38,32
53,20,90,72,33,36,66,30,75,75,66
2181,44,46,90,44,80,24,97,49,89,48
2182,35,28,3,4,18,12,19,84,3,56
79611,80,6,50,16,68,92,87,63,72,64
60,73,98,96,6,53,12,56,48,54,77
71,83,95,73,80,68,35,48,58,76,59
86,14,36,18,91,60,25,99,38,27,70
87,35,95,47,80,41,48,19,37,3,56
81,3,12,14,49,20,20,19,10,5,56
55860,73,98,96,6,53,51,56,48,54,59
10121,13,42,40,10,58,19,77,17,41,52
10120,20,0,38,95,57,78,68,45,17,46
10097,40,77,50,40,16,92,87,96,72,64
10096,55,43,40,91,92,76,46,34,58,42
