,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
27,ALL,125,125,0.9581972315912161,"0.919199059165485
",0.9386981453783505
35,ALL,150,125,0.9627906240978354,"0.9133299262972118
",0.9380602751975236
43,ALL,175,125,0.9666884866117136,"0.9080558343441685
",0.937372160477941
127,ALL,75,125,0.936683847721064,"0.9347957317637178
",0.9357397897423909
69,ALL,250,125,0.9693836665105098,"0.898550449790339
",0.9339670581504245
135,ALL,80,100,0.9424275339716484,"0.9236076818404054
",0.9330176079060268
145,ALL,90,100,0.9475666265559398,"0.9180626689408432
",0.9328146477483915
1,ALL,100,100,0.9531920403510036,"0.9118551311812294
",0.9325235857661165
26,ALL,125,100,0.9606173316636272,"0.902205419650453
",0.9314113756570401
34,ALL,150,100,0.9645971047696488,"0.8970007819764021
",0.9307989433730255
126,ALL,75,100,0.9390648097453723,"0.919867002444563
",0.9294659060949677
42,ALL,175,100,0.9673174408554179,"0.8896376432340806
",0.9284775420447493
117,ALL,70,100,0.9348482854558293,"0.9208969946248062
",0.9278726400403178
143,ALL,80,90,0.9425344941682157,"0.9105685029771418
",0.9265514985726787
153,ALL,90,90,0.9475648973965618,"0.9040437414183491
",0.9258043194074554
107,ALL,60,100,0.9236377733425697,"0.9267227801416122
",0.9251802767420909
152,ALL,90,80,0.9485018375211235,"0.9010468631665509
",0.9247743503438373
151,ALL,90,70,0.9479880265714028,"0.9011714868019464
",0.9245797566866746
50,ALL,200,100,0.9689958534302182,"0.8801307809296236
",0.9245633171799209
115,ALL,60,90,0.9245398362477629,"0.923930816642057
",0.9242353264449099
49,ALL,175,75,0.9686937741503562,"0.8793106293370989
",0.9240022017437275
12,ALL,100,70,0.9536910174014585,"0.8924793576711508
",0.9230851875363046
142,ALL,80,80,0.9427242709145494,"0.9029659686348581
",0.9228451197747037
68,ALL,250,100,0.9722562964707792,"0.8730099932885335
",0.9226331448796563
15,ALL,100,90,0.9509783032804124,"0.8940827170908494
",0.9225305101856309
13,ALL,100,75,0.9525347136089168,"0.8921335640267068
",0.9223341388178119
41,ALL,150,75,0.9646564667032477,"0.8787540099379292
",0.9217052383205884
11,ALL,100,60,0.9540319143530086,"0.8893568706168716
",0.9216943924849401
133,ALL,75,75,0.9390773828219848,"0.9036275083278604
",0.9213524455749227
14,ALL,100,80,0.9522652394434863,"0.8898681723304117
",0.921066705886949
33,ALL,125,75,0.9599854871292446,"0.8820848598292399
",0.9210351734792422
75,ALL,250,75,0.9735693587286535,"0.86839005227543
",0.9209797055020417
141,ALL,80,70,0.9441795649486712,"0.897579567634905
",0.9208795662917881
114,ALL,60,80,0.9254911902074574,"0.9158258470899037
",0.9206585186486805
150,ALL,90,60,0.9502461136166509,"0.8908198437279754
",0.9205329786723131
124,ALL,70,80,0.9349463998567681,"0.9055466137961328
",0.9202465068264505
104,ALL,50,80,0.9127310966288505,"0.9276916919630392
",0.9202113942959449
57,ALL,200,75,0.9714384093687528,"0.8679304718334772
",0.919684440601115
97,ALL,50,100,0.9062217221804787,"0.9324623635390912
",0.9193420428597849
123,ALL,70,70,0.9335724214269463,"0.9046525746727172
",0.9191124980498317
140,ALL,80,60,0.9448314603295633,"0.8931556748703541
",0.9189935675999588
32,ALL,125,50,0.9623528045974313,"0.8755591131034279
",0.9189559588504297
125,ALL,70,90,0.9334495658855112,"0.9035255435352333
",0.9184875547103722
10,ALL,100,50,0.9545932245059368,"0.8823365700177543
",0.9184648972618455
105,ALL,50,90,0.9097510462822305,"0.926985327167979
",0.9183681867251048
113,ALL,60,70,0.9235822208271303,"0.9117324778800652
",0.9176573493535978
122,ALL,70,60,0.9354035692577396,"0.8990454962472538
",0.9172245327524967
40,ALL,150,50,0.9671942467529229,"0.8661931296911559
",0.9166936882220393
149,ALL,90,50,0.9503718663455563,"0.881460263901725
",0.9159160651236407
56,ALL,200,50,0.9727015573694411,"0.8583418406615719
",0.9155216990155065
9,ALL,100,40,0.954180783138168,"0.8740247153791708
",0.9141027492586694
132,ALL,75,50,0.9405784826382697,"0.886538307606234
",0.9135583951222519
112,ALL,60,60,0.9248305424495953,"0.9020088788184357
",0.9134197106340155
74,ALL,250,50,0.9752912278593987,"0.8512274566064919
",0.9132593422329454
48,ALL,175,50,0.9698898498492294,"0.8559537956640629
",0.9129218227566462
148,ALL,90,40,0.9495995618271831,"0.8761122844178434
",0.9128559231225133
103,ALL,50,70,0.9117358033510692,"0.9113369332981892
",0.9115363683246291
139,ALL,80,50,0.9445464212265569,"0.8784165902137084
",0.9114815057201326
87,ALL,40,100,0.8878247947091568,"0.9349050853094624
",0.9113649400093096
111,ALL,60,50,0.9244964731041272,"0.8981943118917243
",0.9113453924979258
121,ALL,70,50,0.9340258647968759,"0.8860462166506708
",0.9100360407237733
138,ALL,80,40,0.9453963416517291,"0.8739981158680632
",0.9096972287598961
95,ALL,40,90,0.8850907181393983,"0.9335652580831555
",0.9093279881112769
120,ALL,70,40,0.9358787405929873,"0.8812666785708845
",0.9085727095819358
110,ALL,60,40,0.9253864513314011,"0.8915134013510507
",0.9084499263412259
8,ALL,100,30,0.9561038202720008,"0.8607436779982152
",0.9084237491351079
147,ALL,90,30,0.9522183715889937,"0.8634504245455213
",0.9078343980672575
102,ALL,50,60,0.9104199398294165,"0.9026068752349007
",0.9065134075321586
93,ALL,40,70,0.8898931025033339,"0.918406492251213
",0.9041497973772734
94,ALL,40,80,0.8868094599909422,"0.9206048925861795
",0.9037071762885609
101,ALL,50,50,0.9072859579821831,"0.8982411073279487
",0.9027635326550659
137,ALL,80,30,0.943040463088052,"0.8597166413192034
",0.9013785522036277
85,ALL,30,90,0.8650872692255255,"0.9348637082922059
",0.8999754887588657
119,ALL,70,30,0.9359424975231463,"0.8638282361200063
",0.8998853668215763
109,ALL,60,30,0.9277528622135491,"0.8710593624738626
",0.8994061123437058
92,ALL,40,60,0.8884512849935005,"0.9083169036200379
",0.8983840943067691
100,ALL,50,40,0.9094379675939845,"0.8860639496580849
",0.8977509586260347
77,ALL,30,100,0.8584168403730134,"0.936511892814008
",0.8974643665935107
91,ALL,40,50,0.891427820597264,"0.9023635389665976
",0.8968956797819307
84,ALL,30,80,0.8588475037356385,"0.9309447136552013
",0.8948961086954199
59,ALL,20,100,0.8397067476912241,"0.9446799130591774
",0.8921933303752008
90,ALL,40,40,0.8877693105285986,"0.893395070470373
",0.8905821904994858
99,ALL,50,30,0.9113106396866544,"0.8686673768080321
",0.8899890082473432
83,ALL,30,70,0.8577056031213398,"0.9215073056297851
",0.8896064543755624
5,ALL,100,20,0.9561320278807188,"0.8228083419022216
",0.8894701848914702
82,ALL,30,60,0.8592892103932889,"0.915380551570593
",0.8873348809819409
67,ALL,20,90,0.8375539437198611,"0.9361956541819093
",0.8868747989508852
146,ALL,90,20,0.9508668690880409,"0.8219960716462664
",0.8864314703671536
81,ALL,30,50,0.8645683059062442,"0.9054042571533975
",0.8849862815298208
