,0,1,2,3,4,5,6,7,8,9
8086,2,21,46,20,74,41,12,24,14,73
51166,25,14,46,15,22,11,12,43,2,11
195827,67,26,38,26,7,20,35,45,62,62
79719,68,51,30,7,43,57,28,28,70,74
22848,69,63,53,41,2,50,22,67,32,61
28971,41,56,55,5,20,73,48,51,37,45
14,19,42,35,68,40,48,6,4,59,61
16,73,33,5,1,55,25,41,34,30,5
132949,54,7,45,36,60,23,30,9,13,30
60496,22,29,72,35,56,59,52,36,32,26
10157,53,38,25,10,17,57,74,50,17,43
26574,51,56,55,5,20,73,21,51,37,45
18,36,65,10,40,43,22,28,3,17,74
23461,38,39,41,62,64,10,53,61,40,70
10351,22,17,53,72,73,65,35,37,61,4
22,59,65,43,23,58,19,46,3,1,42
10057,59,3,29,23,0,11,74,53,14,73
5825,29,74,37,60,47,39,11,35,56,26
5826,2,38,33,7,16,19,10,25,1,14
6059,52,17,6,54,14,15,5,70,32,2
23,67,41,13,27,71,25,4,71,34,33
10061,63,21,46,20,22,66,21,11,26,31
25864,23,33,12,11,26,33,69,24,30,65
11057,9,15,22,33,23,29,36,66,39,48
10006,36,51,10,40,43,22,28,28,70,74
10152,29,40,20,47,25,17,27,10,45,51
25,36,51,10,40,43,22,28,28,70,74
3983,69,18,14,26,47,24,25,67,32,61
29,36,51,10,40,43,22,28,28,70,74
29777,36,51,10,40,43,57,19,28,70,74
30,30,63,53,41,27,20,23,6,59,11
10449,73,33,19,1,26,25,45,34,30,65
80724,0,6,25,10,6,55,21,28,1,43
34,23,23,54,42,40,36,61,49,50,66
36,63,62,65,30,12,54,61,60,20,11
37,73,4,5,0,55,31,41,57,5,65
23527,8,14,3,23,23,11,57,41,14,3
38,61,21,25,20,17,55,74,69,14,43
39,13,0,23,28,50,64,38,19,10,13
64746,20,44,21,45,30,53,70,31,58,69
91452,2,12,9,71,24,67,0,50,63,46
84320,63,47,32,11,26,16,40,64,55,48
65057,26,12,0,32,29,71,0,0,42,0
55331,63,11,65,33,5,54,54,18,48,11
22985,43,47,9,20,0,11,43,24,26,48
47,47,64,0,71,24,67,0,52,42,46
48,32,62,53,70,51,20,18,56,65,40
50,0,65,46,20,0,28,12,11,14,3
55856,44,36,3,43,15,6,65,17,14,36
10965,73,3,19,63,26,4,24,34,23,48
11332,45,42,32,53,41,41,43,57,20,73
10005,41,56,58,5,20,73,48,51,37,45
23597,37,2,48,37,14,8,55,10,3,9
51,8,13,54,71,35,41,45,49,23,73
52,38,53,36,62,16,44,10,25,40,14
53,51,56,55,5,20,73,48,51,37,45
2181,73,4,19,1,2,55,45,24,1,65
2182,52,40,26,19,9,43,55,70,38,62
79611,70,26,67,72,25,46,52,58,67,8
60,10,46,28,50,61,72,64,15,33,64
71,38,39,41,65,16,10,13,62,7,52
86,23,62,61,0,71,70,7,30,39,41
87,60,31,40,4,3,34,7,55,55,72
81,68,65,30,7,17,57,74,50,17,3
55860,11,66,14,60,47,15,6,35,67,26
10121,33,21,13,53,41,41,53,4,55,31
10120,46,10,42,14,32,12,34,39,43,7
10097,61,68,12,1,74,11,12,72,52,3
10096,44,36,17,63,15,6,9,17,11,36
64431,66,3,46,20,8,19,74,48,1,10
93973,40,35,48,73,73,69,11,14,51,37
91,26,64,9,9,29,67,0,29,5,46
92,43,38,69,8,72,55,57,29,24,10
93,73,4,19,63,55,25,45,53,24,65
97,47,12,33,8,58,71,73,7,42,35
98,71,74,64,6,39,30,8,40,36,9
161823,11,2,66,24,28,69,49,67,69,12
102,9,41,2,58,51,24,6,56,62,32
6868,2,38,46,17,0,55,19,3,1,70
8754,34,3,33,8,11,19,10,29,14,14
9510,13,71,23,28,38,64,38,19,10,13
11174,26,34,62,9,66,67,0,7,42,0
56999,66,14,29,1,74,11,12,18,52,73
103,53,38,25,10,54,57,28,46,17,42
23536,27,55,22,33,74,51,40,57,23,48
118,11,35,44,54,13,0,39,44,21,17
120,25,22,71,45,16,41,69,43,22,5
166647,28,31,6,12,39,2,11,42,51,58
9289,63,11,22,42,5,24,61,66,39,5
57211,48,16,37,72,73,8,11,44,69,51
22859,21,2,18,49,9,8,39,14,38,54
23266,59,47,9,8,24,67,73,52,14,46
23284,39,13,54,52,48,23,17,49,25,39
84059,27,22,46,53,41,41,21,22,50,1
128,51,56,55,5,20,73,48,51,37,45
55256,61,68,32,20,70,51,43,72,26,1
51094,55,35,20,47,49,21,52,68,49,37
79602,0,6,30,20,0,57,57,3,17,43
132,13,19,23,28,50,64,14,19,10,13
23394,73,33,19,63,71,25,45,34,2,65
22850,44,36,27,43,15,6,9,17,11,31
84890,53,38,43,10,6,5,56,50,68,42
83440,53,38,25,15,0,57,46,46,17,3
11047,38,53,41,62,16,44,13,61,40,14
158,33,61,57,19,41,53,51,38,34,61
159,34,11,71,51,8,44,24,61,7,28
121536,0,68,25,7,17,55,46,11,14,43
166,20,44,57,45,30,60,3,43,58,63
60312,19,20,71,68,8,48,53,64,27,1
4301,72,4,56,9,58,4,45,34,5,65
3899,3,20,49,21,12,69,18,45,35,33
27125,14,69,74,29,68,37,66,68,64,19
172,1,20,60,31,40,62,23,5,65,66
10939,66,68,12,20,23,41,22,69,57,73
54812,23,5,5,17,2,25,41,34,5,65
175,22,35,37,74,9,8,55,37,21,2
116987,56,12,39,11,29,71,60,29,63,59
60509,53,38,52,10,6,57,46,3,17,43
3267,26,64,62,9,66,3,0,29,42,46
55109,26,12,9,8,29,3,60,52,23,59
178,2,34,3,20,0,19,74,69,47,3
26523,30,17,37,26,44,15,49,12,32,47
27161,9,18,14,26,25,47,18,21,62,53
192669,70,23,13,54,7,46,1,10,35,37
192670,41,56,55,5,20,73,48,51,37,45
10554,20,61,57,21,71,53,70,31,58,63
56894,20,44,46,15,0,60,3,57,22,63
56895,30,8,4,19,46,50,51,60,39,61
55326,53,68,10,7,54,57,19,46,17,42
8540,65,3,52,8,24,1,57,29,24,16
23287,0,47,25,23,17,51,12,11,52,3
57085,4,48,59,15,74,16,36,64,57,73
25909,56,57,9,0,10,3,41,52,5,67
191,9,62,49,37,46,52,25,59,28,61
10768,73,33,19,1,2,25,45,34,30,65
54806,32,4,5,68,10,29,73,66,5,67
10598,30,1,49,44,36,39,23,6,19,22
130872,0,6,33,7,54,5,46,41,47,43
9131,47,34,3,8,11,45,74,25,14,10
51390,24,54,73,25,57,13,26,23,45,4
9255,32,57,5,4,26,7,53,59,72,41
7965,61,33,46,23,55,29,40,11,57,1
9049,74,19,23,28,50,64,14,19,10,13
84962,13,21,23,28,38,64,38,19,46,13
204,11,20,67,54,12,47,49,67,34,47
50808,66,33,29,56,22,4,74,64,30,41
205,53,38,30,40,6,5,19,46,17,74
102157402,9,66,67,54,53,20,25,66,65,66
221264,36,51,10,40,43,22,28,28,70,74
11216,19,5,0,9,10,66,41,0,5,67
11215,53,60,36,62,6,42,44,48,68,16
9590,20,44,57,45,0,60,3,43,22,63
11214,25,62,2,26,12,20,23,45,48,23
8227,68,6,25,18,17,5,28,3,17,43
9472,44,38,43,10,70,19,65,11,14,42
10270,24,54,73,46,57,13,26,23,45,21
26993,45,57,16,59,22,9,61,56,27,5
10142,36,51,10,40,43,22,28,28,70,74
56672,8,47,47,11,35,16,36,55,55,48
79647,63,52,60,44,46,20,24,60,59,18
55122,26,64,0,32,29,3,0,26,42,0
10327,67,41,5,68,71,48,51,4,31,61
231,19,42,27,68,51,18,61,16,28,5
8574,2,48,3,71,22,41,74,41,24,59
207,27,21,46,11,35,11,41,57,57,3
208,52,40,21,74,9,40,16,10,61,62
10000,60,31,40,13,18,34,72,55,54,72
64400,36,51,10,40,43,22,28,28,70,74
210,30,27,44,48,12,48,61,21,28,53
211,72,34,56,8,58,28,62,29,42,35
214,36,38,10,40,43,22,28,28,70,43
5832,8,68,12,56,74,66,40,11,23,73
217,38,53,36,62,16,42,10,25,40,70
224,63,33,59,63,55,25,21,72,52,65
7915,25,62,71,42,41,18,69,62,50,71
4329,58,67,65,30,5,14,7,56,52,18
501,72,12,62,9,58,71,73,0,0,35
223,65,60,36,71,72,45,44,25,6,56
226,45,4,19,33,2,4,53,53,20,5
79868,2,4,19,18,55,4,46,72,52,14
85365,26,64,62,32,29,67,0,7,42,0
10195,8,42,58,27,26,70,65,57,20,41
29880,45,65,12,56,64,16,21,69,23,5
79053,26,64,0,32,29,3,60,52,63,46
54890,73,55,9,17,26,51,41,1,23,3
84266,48,2,48,49,73,17,67,68,3,68
7840,53,68,43,10,54,57,74,46,47,42
57679,45,21,32,59,0,51,12,57,14,70
10189,6,61,57,19,30,18,70,6,8,61
262,4,38,43,10,11,57,74,3,1,14
267,19,42,60,30,5,54,61,60,39,48
9949,68,68,10,7,54,57,28,28,17,74
83607,58,4,35,33,2,48,40,47,50,1
196394,4,68,52,53,72,51,46,48,26,3
154796,53,3,69,17,55,19,57,3,63,10
154810,56,12,0,32,29,67,60,7,0,0
51421,61,70,19,63,26,4,21,7,30,65
280,46,10,8,73,32,32,34,68,18,44
51321,27,55,59,4,74,25,45,48,23,1
201283,25,48,11,23,23,33,24,30,48,28
10393,2,3,30,18,54,19,74,3,1,3
51529,39,7,45,55,42,23,17,54,13,39
25847,11,35,53,54,13,15,52,5,9,12
25906,65,60,43,10,54,45,19,46,17,42
119504,0,51,25,40,43,57,46,46,70,74
29945,65,9,52,71,54,5,46,41,24,10
51433,40,17,24,54,47,15,11,37,32,62
51434,61,38,30,23,6,41,12,53,26,70
90806,73,33,19,63,55,16,45,34,57,65
287,63,48,34,33,40,28,40,64,20,48
288,2,3,46,7,55,4,12,53,14,73
