,0,1,2,3,4,5,6,7,8,9
8086,50,53,59,67,17,49,61,56,62,63
51166,42,32,64,67,6,3,65,33,34,47
195827,53,21,74,23,69,62,38,47,45,3
79719,14,63,43,5,63,63,27,12,43,50
22848,65,6,14,45,23,60,20,69,19,40
28971,0,18,45,15,22,70,30,64,37,46
14,21,31,28,15,36,1,10,63,59,19
16,34,4,64,65,41,36,65,65,29,10
132949,58,10,54,41,38,27,60,55,23,74
60496,26,63,58,2,37,68,12,9,13,26
10157,27,42,17,18,55,45,4,21,53,52
26574,45,21,74,29,64,30,74,63,69,44
18,54,43,29,0,48,40,3,16,67,27
23461,3,30,11,36,18,71,6,65,40,42
10351,33,61,73,26,46,18,30,10,21,20
22,39,61,33,10,39,72,39,29,68,2
10057,58,6,34,20,59,11,1,36,56,40
5825,54,43,29,0,47,40,3,16,67,27
5826,54,43,29,0,69,40,3,47,67,70
6059,17,45,28,46,2,66,74,45,66,1
23,12,6,34,69,46,64,42,50,0,36
10061,43,0,3,54,6,14,60,74,20,38
9619,15,19,66,49,16,8,48,2,7,15
25864,20,32,7,44,61,61,56,57,19,5
11057,69,52,11,19,18,3,65,11,10,58
10006,52,13,7,71,3,32,23,24,37,46
10152,74,50,68,73,11,21,64,53,28,32
25,71,53,21,40,73,20,27,9,43,51
3983,54,43,29,0,48,40,3,16,67,70
29,60,65,39,47,55,72,39,29,68,2
29777,49,19,31,72,21,37,48,42,55,15
30,12,29,28,20,36,18,59,39,66,60
10449,0,70,9,29,47,32,23,64,25,13
80724,20,60,34,63,30,27,60,55,63,74
34,15,19,31,72,16,67,48,42,55,15
36,9,40,50,4,66,43,26,59,30,1
37,38,36,61,14,14,65,25,8,38,22
23527,49,60,63,27,61,14,10,18,15,46
38,5,1,29,61,64,30,13,47,27,70
39,54,21,53,0,69,40,3,7,27,8
64746,65,37,73,35,4,23,28,32,22,23
91452,15,19,66,72,13,67,52,55,7,68
84320,7,63,58,28,67,13,27,12,74,9
65057,38,36,61,14,14,54,25,44,38,22
55331,35,10,25,27,51,44,29,1,23,74
22985,72,31,1,23,66,5,38,22,66,73
47,64,15,38,27,1,59,24,36,23,16
48,65,56,62,31,23,53,28,37,19,0
50,19,42,54,19,12,71,50,46,22,37
55856,23,35,74,46,1,1,51,52,33,44
10965,2,17,28,60,47,5,11,52,33,44
11332,43,72,6,44,4,14,56,5,60,62
10005,59,13,31,42,39,8,5,24,55,15
23597,39,68,42,15,19,47,46,0,55,11
51,5,21,18,22,69,30,74,7,26,44
52,42,32,72,70,43,12,35,26,58,66
53,5,29,32,20,47,24,51,52,27,70
2181,54,43,29,0,48,40,3,16,67,27
2182,45,70,28,22,2,66,73,45,2,44
79611,9,1,8,48,8,31,38,68,2,3
60,33,72,9,56,26,14,1,0,30,40
71,11,31,12,12,49,19,11,0,56,73
86,72,19,31,47,21,8,52,2,25,34
87,39,68,42,64,19,47,46,62,72,11
81,35,3,57,24,33,23,7,6,53,30
55860,33,0,62,31,43,60,28,49,23,31
10121,21,18,52,52,36,70,30,36,50,16
10120,14,53,59,9,63,9,18,72,3,9
10097,0,24,33,10,39,72,39,41,59,2
10096,64,0,38,47,51,59,1,49,35,39
64431,35,8,24,52,22,44,63,34,22,62
93973,58,6,24,27,43,14,0,5,50,54
91,29,56,62,31,23,35,28,37,19,23
92,45,45,53,49,13,8,13,47,2,8
93,22,42,11,8,41,26,35,40,15,30
97,52,72,10,17,3,11,0,10,15,36
98,48,52,37,36,18,73,6,40,52,6
161823,64,31,34,44,55,72,24,55,68,2
102,0,1,53,23,64,62,73,64,66,19
6868,61,9,52,25,27,58,56,13,60,74
8754,52,13,52,15,3,5,66,24,37,19
9510,37,38,31,29,46,67,48,63,55,34
11174,53,18,45,46,36,32,30,52,37,60
56999,58,10,52,25,51,19,58,5,32,73
103,15,19,70,72,16,37,48,42,61,12
23536,37,38,74,29,64,8,52,2,66,19
118,62,56,64,35,44,12,28,6,52,23
120,33,73,10,1,59,53,11,50,63,31
166647,72,35,74,47,49,41,55,41,56,13
9289,18,4,17,36,20,12,4,21,73,63
57211,10,74,26,18,24,34,35,14,15,59
22859,70,36,61,12,71,57,5,44,5,22
23266,8,42,44,39,38,39,57,35,14,16
23284,53,21,32,29,2,24,8,68,26,70
84059,5,21,46,23,64,24,3,7,45,8
128,70,36,61,62,1,57,5,24,5,18
55256,48,12,17,57,25,51,61,28,57,63
51094,32,25,57,21,58,61,19,13,29,42
79602,38,36,61,14,14,65,25,8,38,22
132,0,31,74,22,49,11,51,52,25,13
23394,9,24,8,48,65,31,58,68,4,68
22850,11,72,9,26,1,25,29,0,7,68
84890,9,26,8,25,72,54,68,68,4,1
83440,5,43,46,61,64,24,74,47,27,70
11047,5,61,46,22,47,62,73,47,26,8
158,1,48,30,55,28,10,44,60,18,49
159,70,13,45,71,27,41,5,24,5,29
121536,32,33,26,43,12,27,57,14,12,5
166,37,34,70,49,13,8,48,2,55,3
60312,36,38,22,20,46,32,53,58,25,60
4301,21,5,73,54,43,54,22,48,59,18
3899,74,64,13,73,11,21,64,38,28,32
27125,72,37,10,45,4,64,59,36,63,37
172,9,6,9,20,66,48,8,5,16,48
10939,42,37,26,8,38,53,19,33,40,62
54812,54,70,18,61,2,24,74,47,69,44
175,18,22,26,71,22,27,23,26,23,62
116987,5,38,32,0,2,30,51,47,27,8
60509,72,0,9,45,1,59,11,49,12,73
3267,19,58,49,8,38,39,6,6,51,66
55109,53,70,32,20,1,1,10,52,37,60
178,14,57,5,28,15,33,72,51,3,26
26523,66,46,64,67,42,12,21,4,10,59
27161,64,35,74,69,49,19,58,64,12,13
192669,52,61,23,15,72,25,11,22,39,13
192670,53,21,28,42,36,30,73,7,26,34
10554,39,68,42,64,19,47,46,62,72,11
56894,61,10,34,58,38,25,14,55,44,42
56895,54,21,29,60,48,40,13,16,27,44
55326,59,35,66,10,21,67,52,2,69,12
8540,54,43,46,23,48,30,74,47,27,70
23287,2,45,9,15,47,1,74,52,33,3
57085,59,19,53,42,13,67,52,2,7,3
25909,2,31,9,46,3,1,74,52,69,13
191,48,12,17,57,25,51,4,31,73,41
10768,37,19,66,42,16,8,51,63,61,15
54806,58,31,28,17,62,59,11,41,56,74
10598,69,55,5,37,20,71,19,70,11,4
130872,64,54,50,27,68,43,26,59,1,1
9131,45,1,32,61,8,24,51,7,26,44
51390,0,29,1,22,19,32,66,0,66,60
9255,13,0,1,47,3,25,42,71,59,48
7965,27,73,57,37,20,36,21,65,52,21
9049,0,17,1,46,36,5,42,10,33,73
84962,71,57,5,9,15,13,70,51,73,67
204,10,65,17,51,25,51,4,30,14,41
50808,25,18,45,29,22,70,30,64,39,17
205,62,30,11,36,33,71,37,46,53,62
102157402,45,43,46,23,48,62,73,47,27,44
221264,21,70,74,20,50,19,29,41,33,34
11216,53,45,32,23,8,30,13,7,26,44
11215,23,35,63,12,47,5,11,10,2,36
9590,72,17,19,1,66,35,42,18,16,39
11214,5,31,18,22,50,62,55,52,27,19
8227,15,34,31,49,16,37,48,42,55,12
9472,10,65,72,51,25,51,4,30,11,0
10270,74,50,68,73,11,21,64,53,28,32
26993,0,54,63,47,57,18,55,10,59,46
10142,2,45,1,22,47,1,10,22,33,68
56672,36,62,22,34,21,46,53,58,71,28
79647,45,21,46,22,2,24,74,47,27,70
55122,70,17,32,46,71,5,5,63,5,19
10327,13,72,25,69,27,32,56,48,37,29
231,0,13,66,60,21,32,38,63,69,15
8574,45,1,46,23,69,24,13,7,26,8
207,24,56,48,18,34,34,63,40,52,42
208,53,21,74,61,64,62,38,7,45,3
10000,4,60,10,69,26,60,0,10,56,18
64400,5,21,46,0,69,62,13,16,67,27
210,13,29,47,71,36,32,10,64,21,17
211,13,10,15,25,13,44,23,55,61,18
214,46,15,3,43,30,59,11,74,20,38
5832,59,70,66,61,3,24,51,47,66,34
217,59,26,23,29,46,66,73,2,7,34
224,54,43,29,0,48,40,3,16,67,27
7915,54,43,29,0,48,40,3,16,67,27
4329,53,45,47,23,1,19,51,7,45,73
501,11,0,7,54,39,48,0,5,39,36
223,20,72,54,45,27,27,43,57,8,18
226,23,43,46,29,50,1,74,52,27,44
79868,5,45,46,23,2,24,74,47,26,44
85365,23,31,28,23,36,32,55,22,37,60
10195,53,1,46,22,69,30,13,47,27,44
29880,38,36,61,14,14,65,25,8,38,22
79053,43,68,3,64,6,47,43,74,20,38
54890,71,52,58,40,53,9,18,56,36,6
84266,45,43,28,61,2,24,13,45,26,8
7840,0,13,7,3,46,58,23,24,23,62
57679,5,43,46,23,69,30,74,16,27,8
10189,53,38,9,17,3,1,55,52,66,44
262,37,34,66,42,16,8,73,2,7,12
267,57,18,73,45,34,27,30,34,63,17
9949,19,5,14,27,10,16,22,55,53,7
83607,23,34,28,29,69,19,51,10,2,3
196394,54,21,46,61,2,24,3,16,27,27
154796,19,9,14,41,26,34,6,34,8,72
154810,2,38,74,60,69,62,74,64,45,8
51421,15,34,31,72,13,67,48,42,7,12
280,34,39,54,26,55,69,43,57,50,46
51321,11,10,38,56,51,25,29,55,63,36
201283,5,45,29,60,64,24,13,7,45,70
10393,17,40,4,4,8,66,68,45,46,44
51529,46,60,25,17,41,58,47,69,23,39
25847,52,24,63,27,62,54,1,39,21,46
25906,59,34,31,46,21,8,52,2,7,3
119504,53,1,46,61,69,30,74,7,45,70
29945,53,1,18,61,2,30,38,7,66,70
51433,52,13,32,46,50,54,55,39,25,60
51434,11,35,19,15,57,54,55,69,56,73
90806,42,56,62,35,44,4,63,11,64,23
287,1,48,30,55,32,10,44,60,58,49
288,5,1,29,61,48,30,3,7,27,70
63926,46,6,1,12,1,14,11,22,21,19
51479,10,58,60,70,25,51,4,36,40,52
54467,59,26,28,15,21,8,29,45,7,34
23141,71,63,5,9,15,42,61,72,13,63
57037,23,70,46,23,2,24,51,7,33,13
57763,12,0,54,13,43,34,22,71,23,54
55608,5,70,46,46,2,62,55,47,2,44
29123,60,65,39,47,55,72,39,29,68,2
23253,59,34,70,49,16,37,48,42,7,12
88455,38,7,61,14,14,64,5,8,38,22
81573,66,42,24,36,33,45,33,26,24,66
26057,46,32,48,63,4,61,47,34,32,72
22852,12,68,3,50,6,41,46,74,9,38
23243,21,39,74,6,1,35,10,10,47,40
147463,40,73,73,38,26,53,47,14,15,20
375248,11,35,12,12,50,19,55,5,56,40
57730,57,10,39,26,27,54,24,50,9,17
84832,40,54,14,41,41,25,60,50,49,66
400986,20,42,73,44,61,4,56,55,10,54
51239,46,8,39,70,12,11,24,36,32,29
157567,5,21,53,60,69,24,13,22,26,44
54851,52,13,66,71,1,48,23,64,23,12
57182,5,61,74,60,47,62,74,52,45,44
129138,69,28,5,30,42,33,37,4,34,58
22881,25,18,45,20,36,32,30,69,63,17
23294,37,21,1,60,3,62,74,47,2,44
124401,13,35,12,69,46,35,5,10,5,46
55139,60,35,53,20,36,1,39,52,2,2
54443,10,73,60,13,33,28,43,46,14,72
55129,0,70,1,6,1,54,73,52,45,8
121601,2,70,63,6,13,35,38,10,56,73
203859,25,60,45,25,43,35,10,10,59,39
196527,37,35,31,49,21,62,8,2,55,3
8125,72,72,12,12,71,5,5,22,5,36
10541,23,60,74,20,49,35,58,52,37,60
23520,59,45,74,6,46,5,68,45,69,48
81611,59,34,66,42,16,8,66,24,7,3
84168,5,21,28,73,11,15,51,63,28,32
118429,53,1,46,47,64,30,51,7,26,68
311,50,52,37,11,18,71,21,28,52,58
302,24,5,10,63,34,16,56,46,24,66
304,43,6,72,3,10,16,39,74,12,0
307,66,58,57,39,10,71,6,40,40,42
308,3,74,26,63,30,28,63,74,40,72
309,21,6,7,27,12,53,22,18,21,40
310,5,1,18,61,69,24,13,47,27,27
55435,28,19,8,25,21,54,42,39,69,19
164,11,31,74,46,21,32,29,39,25,13
8906,10,65,17,51,25,51,4,30,53,41
8907,59,19,31,42,16,8,48,2,55,15
8905,22,30,35,24,6,0,43,19,51,59
160,18,32,54,35,6,27,60,74,20,0
161,34,9,6,35,33,16,56,50,50,54
163,45,31,53,25,47,1,74,45,26,44
1173,9,40,23,48,8,35,38,45,30,1
1175,17,40,50,17,8,43,68,59,30,1
8546,50,28,55,37,42,36,65,19,73,67
8943,48,28,17,57,25,51,4,31,73,41
26985,24,23,11,36,20,71,7,6,0,10
10947,58,17,23,6,50,59,66,18,33,13
1176,69,23,59,24,6,56,49,19,70,21
10239,5,31,32,60,64,1,13,7,45,34
23431,0,14,74,60,49,15,20,64,66,73
9179,28,15,24,52,26,18,24,49,24,0
11154,71,52,37,30,18,71,18,51,36,6
55745,21,70,18,15,36,1,55,22,21,70
317,28,26,23,15,27,48,51,18,46,46
321,30,28,44,11,41,36,21,6,40,21
322,25,70,1,48,47,15,51,50,37,17
323,5,35,19,29,2,24,74,7,33,13
324,59,72,19,25,50,15,48,24,55,15
327,37,61,31,49,13,8,52,2,21,68
328,53,21,25,10,3,32,73,64,37,17
51107,13,6,14,54,72,14,11,10,35,74
8539,72,29,23,17,1,5,30,50,63,13
51074,40,73,10,44,43,48,57,36,60,57
333,39,68,42,64,19,47,46,62,72,11
334,52,54,72,27,4,44,0,69,23,18
57136,53,21,46,61,69,30,74,47,67,70
348,5,70,28,29,69,62,38,68,27,70
23780,4,54,73,13,10,58,14,1,22,74
79135,10,22,27,8,25,51,4,40,40,59
139322,34,9,6,43,41,39,22,57,50,30
84334,39,68,42,64,19,47,46,62,72,11
351,11,17,38,6,57,35,29,63,59,34
10513,15,34,66,72,16,37,48,42,61,12
26060,5,43,29,0,48,40,3,16,67,27
55198,45,21,18,61,64,40,13,7,45,70
353,9,40,8,41,65,31,8,68,4,1
54840,72,54,7,54,50,15,66,17,59,34
9716,28,40,63,47,21,32,68,64,30,68
372,23,29,74,15,57,5,10,10,56,68
375,57,56,24,63,24,16,60,37,19,7
377,5,45,19,29,3,62,74,64,66,70
378,39,29,42,10,39,48,11,55,72,46
382,5,38,46,23,69,30,74,7,26,68
55738,45,21,8,60,47,32,13,68,66,48
84364,62,3,35,31,44,73,31,35,64,23
26286,15,40,50,72,16,66,68,42,46,1
10565,52,29,63,6,36,48,66,22,59,60
10564,19,37,54,18,4,14,63,46,50,57
57221,69,55,55,37,37,13,21,70,51,25
27236,59,61,31,42,13,8,51,64,55,34
384,45,1,1,61,1,30,73,47,59,44
55082,25,8,45,52,22,70,30,1,8,46
94134,45,45,18,22,3,24,51,22,56,13
55114,67,63,20,28,17,49,17,72,74,9
57584,53,13,18,46,39,19,66,22,66,60
83478,52,61,23,47,49,54,10,49,32,36
23092,45,21,28,61,2,24,8,7,27,44
79822,17,40,4,4,66,43,58,59,65,1
9411,0,61,25,60,3,19,38,45,66,60
9743,59,45,4,23,2,66,38,45,46,68
2909,37,13,66,49,21,8,23,24,61,15
394,13,31,52,15,4,70,1,69,39,73
396,53,1,8,61,2,31,73,47,27,70
9138,28,40,50,1,50,35,8,22,1,48
23365,71,16,64,67,54,3,72,11,51,58
9181,2,70,28,60,2,5,74,45,45,44
26084,29,14,63,45,72,25,20,41,19,18
55701,37,29,31,10,47,67,48,2,55,15
8874,2,70,28,22,69,66,13,45,66,48
23229,49,34,66,42,21,8,13,63,25,44
8289,53,45,46,60,64,62,74,16,33,44
57492,9,24,8,48,65,31,8,68,4,48
196528,53,21,74,23,2,30,13,45,2,44
1820,37,31,70,72,21,8,48,2,7,12
10620,11,60,33,56,49,72,39,48,68,2
5926,50,57,20,67,60,22,31,72,3,63
51742,53,70,46,61,2,24,74,47,45,8
84159,21,70,28,47,3,48,38,17,59,3
25820,53,21,46,22,64,30,51,7,27,70
10425,62,56,14,38,44,23,28,20,64,42
400,4,9,6,44,27,58,60,36,65,73
285598,8,4,54,18,34,39,19,40,60,10
200894,5,45,32,60,47,30,8,68,27,70
120534,5,21,32,48,47,30,13,7,2,44
339231,15,34,70,72,13,67,52,42,61,12
402,36,66,22,34,56,46,62,25,71,33
23568,20,32,57,39,68,61,14,23,65,54
403,0,33,1,15,46,18,5,24,32,34
10124,5,21,32,22,69,62,13,47,45,27
10123,13,60,12,26,10,15,50,49,30,18
379,59,38,32,42,69,8,74,63,26,3
26225,13,29,34,26,46,59,56,36,15,74
221079,37,70,47,22,47,32,38,64,45,60
23204,13,1,28,48,8,15,58,68,26,60
10550,45,40,4,22,47,66,68,45,46,8
151188,19,0,14,63,10,28,24,13,50,39
127829,54,43,29,0,48,40,3,16,67,27
55207,5,21,74,29,13,1,51,63,25,3
55156,54,43,29,0,48,40,3,16,67,27
83787,59,34,66,42,13,25,10,24,25,15
25852,45,45,53,23,46,24,38,45,26,44
80210,2,70,46,22,64,19,73,7,45,44
51309,64,6,10,6,27,58,47,41,15,20
9823,29,56,62,31,59,60,20,37,19,23
51566,21,39,9,31,23,53,60,69,19,5
100131755,5,38,46,61,2,30,74,7,26,3
79624,5,1,8,48,8,24,74,68,45,8
405,4,73,26,38,26,28,43,36,50,7
10552,4,9,26,45,22,25,56,13,63,74
10095,65,60,52,26,10,35,1,29,35,39
10109,43,22,3,64,19,47,46,62,8,38
10094,15,34,31,72,16,37,48,42,55,34
10093,39,68,42,15,39,32,46,62,72,11
10092,38,36,61,14,71,65,40,8,38,22
81873,74,50,68,73,11,21,64,53,28,32
348110,45,1,46,61,69,30,74,47,26,8
10776,33,35,9,20,50,41,51,39,21,13
409,24,18,45,45,10,18,24,17,63,17
92714,38,36,61,14,14,57,25,44,38,22
57561,59,38,53,29,3,1,38,22,27,3
91947,37,38,4,42,13,66,38,2,69,8
79642,5,21,46,0,69,30,74,47,27,70
153642,11,29,63,27,3,59,42,49,59,16
64801,28,60,63,41,46,48,1,39,32,40
421,49,34,70,72,39,67,48,42,55,12
170302,5,43,46,61,2,40,13,47,26,70
427,56,71,21,59,52,74,27,12,54,35
50807,5,21,46,23,48,30,74,7,26,70
8853,3,4,15,36,6,0,35,6,44,21
51665,50,41,5,9,15,42,31,9,3,50
140461,2,13,74,42,3,18,51,24,25,12
51008,54,43,29,0,48,40,3,16,67,27
84164,2,35,74,61,50,15,51,24,25,34
10973,54,43,29,0,48,40,3,16,67,27
429,53,21,53,23,69,24,13,47,27,8
25842,72,45,53,23,64,57,5,39,45,19
55870,23,45,32,22,50,62,51,7,45,3
9070,58,3,49,38,61,45,24,46,9,7
8623,64,54,14,45,4,53,10,5,19,39
439,35,10,73,3,43,59,60,55,7,74
440,71,41,35,67,42,22,70,19,6,4
54529,37,19,31,49,64,67,48,2,55,44
444,59,34,63,49,21,67,48,2,61,12
259266,16,49,57,39,38,0,49,58,14,47
79058,53,45,12,4,8,66,68,45,46,1
80150,53,61,19,23,64,62,51,7,45,8
55726,5,43,74,61,36,5,74,52,25,13
171023,17,3,50,1,68,43,26,23,30,45
55252,5,17,28,23,2,30,74,52,33,8
80816,13,18,63,45,22,32,10,17,37,17
84896,13,70,53,20,47,62,8,41,5,36
29028,52,33,47,69,46,11,47,24,25,18
54454,13,72,25,54,27,41,42,48,37,29
79915,53,38,53,29,69,8,13,2,45,19
79969,28,10,7,56,21,18,48,55,60,20
11101,62,2,64,39,44,22,28,35,6,4
466,60,24,33,47,55,69,39,29,68,2
1386,62,56,62,31,43,60,28,37,19,23
467,42,8,72,3,34,45,14,34,11,7
468,72,15,39,63,1,41,60,18,63,74
22809,11,17,9,22,47,19,73,47,45,68
22926,72,60,18,25,1,15,20,18,33,36
55729,18,32,72,63,41,7,56,26,11,0
80063,54,21,29,61,48,40,3,16,45,27
60673,17,45,4,4,8,43,68,45,46,1
9140,46,15,72,50,12,28,56,69,0,29
22863,57,73,14,44,30,44,48,55,32,74
64422,35,6,72,18,72,28,24,37,15,30
23192,62,25,35,65,60,36,21,11,64,10
84938,28,15,25,54,24,59,0,32,47,74
9474,57,58,6,50,34,4,14,33,8,62
471,17,1,18,17,2,31,13,45,26,44
51062,15,19,31,49,16,67,52,42,7,12
