,0,1,2,3,4,5,6,7,8,9
8086,7,33,31,18,10,0,30,17,22,26
51166,33,31,18,11,25,18,36,44,18,38
195827,7,19,31,35,34,31,32,17,30,14
79719,35,23,34,38,14,31,20,24,11,43
22848,46,2,39,46,2,10,9,41,10,21
28971,10,21,32,7,12,15,18,48,11,26
14,11,31,25,31,17,28,43,11,20,34
16,35,6,35,32,6,16,23,15,45,19
132949,33,4,20,20,17,23,11,2,23,16
60496,33,6,5,11,19,16,40,48,40,12
10157,29,31,35,23,33,18,37,13,38,49
26574,22,27,23,35,3,43,40,17,49,28
18,26,3,32,25,31,19,28,35,24,24
23461,5,39,8,32,6,43,47,17,45,43
22,20,40,3,26,42,25,0,46,31,17
10057,0,26,16,36,40,23,24,2,23,3
5825,48,0,14,0,48,46,25,18,13,35
5826,35,34,17,7,46,8,24,36,49,3
6059,7,33,31,32,10,45,32,48,35,26
23,1,15,17,31,19,8,43,36,40,3
10061,29,19,4,18,1,16,19,10,1,14
25864,7,23,31,4,6,31,23,15,30,26
11057,19,21,8,35,31,15,18,24,29,2
10006,46,21,8,32,6,42,12,17,8,21
10152,10,19,34,4,3,31,18,17,29,14
25,46,3,39,46,34,42,2,1,48,21
3983,0,39,31,6,12,31,30,17,35,28
29,46,2,23,25,26,42,18,24,48,21
29777,3,17,0,2,2,10,9,41,0,48
30,5,19,23,4,3,31,12,15,30,14
10449,3,17,39,46,26,10,2,1,10,21
80724,10,21,8,4,34,42,47,45,29,12
34,19,17,39,46,26,10,2,1,10,2
36,12,32,38,23,19,48,41,3,43,22
37,35,21,34,32,11,15,20,17,4,19
23527,38,18,28,41,36,39,49,8,47,13
38,7,21,32,4,31,26,32,17,46,26
39,0,33,33,4,10,19,32,22,29,26
64746,23,39,5,32,32,43,20,24,45,19
91452,4,44,17,13,46,1,37,13,40,34
84320,12,31,20,31,25,23,10,44,38,34
65057,4,4,18,11,46,20,40,39,40,41
55331,23,26,38,49,33,0,32,3,26,49
22985,4,41,47,13,8,20,43,36,49,3
47,0,26,47,24,12,45,6,36,2,5
48,22,3,23,32,34,15,47,24,45,43
50,41,39,5,36,40,23,10,45,40,19
55856,15,45,11,3,23,34,42,34,31,17
10965,32,49,25,29,40,28,41,11,43,44
11332,37,29,13,3,35,35,39,7,16,8
10005,46,2,39,46,26,26,2,1,10,21
23597,24,27,2,16,11,41,1,30,4,10
51,4,16,4,8,1,32,19,39,1,45
52,46,21,8,46,34,26,47,1,11,19
53,3,17,0,2,2,10,9,41,0,48
2181,41,39,47,36,25,23,10,2,29,16
2182,3,2,39,25,26,10,9,1,10,12
79611,9,7,15,15,7,7,16,21,19,15
60,35,19,34,32,34,31,20,45,8,19
71,10,35,32,46,34,15,12,17,8,43
86,9,29,41,15,7,7,42,4,33,15
87,19,17,39,46,31,10,2,1,10,21
81,19,2,39,46,26,26,2,1,48,21
55860,3,17,0,2,2,10,9,41,0,48
10121,46,2,32,46,31,42,2,35,48,12
10120,5,23,17,38,32,31,12,24,2,19
10097,35,6,40,8,22,0,11,10,35,43
10096,32,24,16,10,17,17,3,33,43,34
64431,1,26,47,24,32,45,20,48,49,26
93973,36,44,2,11,19,20,36,39,40,37
91,19,2,32,4,31,26,20,17,10,12
92,39,22,12,22,49,46,33,46,18,47
93,28,33,27,6,22,0,13,6,32,1
97,22,26,33,33,1,32,19,5,24,46
98,14,42,37,44,0,25,22,27,37,17
161823,3,17,0,2,2,10,9,41,0,48
102,3,17,39,46,26,10,2,1,10,21
6868,21,38,48,5,16,5,34,42,3,33
8754,19,2,39,46,34,15,47,1,10,21
9510,21,34,47,35,16,15,6,42,3,26
11174,2,43,19,34,39,49,5,47,15,6
56999,1,34,5,24,11,8,24,36,29,10
103,20,42,10,40,7,11,35,25,5,22
23536,46,2,39,46,26,26,2,1,10,21
118,26,13,34,21,30,15,12,9,24,2
120,0,10,31,4,47,0,32,6,35,29
166647,35,19,23,32,6,31,20,10,30,19
9289,47,42,3,42,0,25,14,47,31,17
22859,4,31,5,31,46,20,44,13,38,38
23266,38,18,28,41,36,39,49,8,47,13
23284,36,44,18,13,40,2,36,13,43,34
84059,32,46,35,19,19,17,40,33,40,23
128,48,0,14,0,48,46,25,18,13,35
55256,29,26,17,31,32,16,24,19,2,3
51094,29,31,18,13,40,18,37,13,40,27
79602,22,26,34,19,5,45,1,35,29,12
132,32,44,42,17,37,48,19,0,43,37
23394,34,12,13,9,18,44,39,16,16,42
22850,46,3,39,46,26,10,18,1,48,21
84890,6,29,15,40,35,24,16,21,33,25
83440,27,4,17,31,25,28,40,44,23,38
11047,4,6,5,20,3,20,47,24,49,12
158,3,17,39,2,26,10,2,41,0,21
159,19,35,30,46,34,42,2,1,10,21
121536,22,30,33,4,5,19,28,9,21,26
166,15,45,6,45,23,7,46,27,25,44
60312,22,23,23,4,14,31,47,15,45,43
4301,3,17,0,2,2,10,9,41,0,48
3899,1,33,40,7,12,31,30,19,22,28
27125,1,6,21,7,12,43,44,15,38,38
172,20,42,10,1,23,38,46,34,37,44
10939,13,13,26,21,24,22,27,5,24,7
54812,36,44,16,13,17,20,36,13,40,38
175,46,2,23,4,6,45,20,24,30,12
116987,41,4,20,20,14,23,10,2,11,16
60509,5,2,23,7,34,31,20,15,29,43
3267,24,48,2,16,11,36,1,30,8,10
55109,1,3,34,25,31,42,47,24,46,43
178,32,1,42,29,28,38,14,33,7,44
26523,35,23,47,4,12,45,24,17,29,28
27161,46,6,8,32,32,15,47,24,10,43
192669,35,34,47,24,12,43,24,19,11,5
192670,23,6,47,35,34,15,20,45,8,43
10554,0,23,23,18,47,43,23,10,35,43
56894,24,48,35,16,11,36,1,30,4,10
56895,12,31,18,23,46,18,37,39,40,38
55326,1,23,23,24,32,15,24,17,29,28
8540,4,4,20,36,25,23,40,36,40,16
23287,26,30,30,21,24,19,28,35,46,24
57085,1,26,17,24,17,1,24,36,2,5
25909,7,23,30,38,34,15,47,17,48,2
191,38,18,28,41,36,39,49,8,47,13
10768,5,35,8,25,34,15,2,24,8,2
54806,48,0,35,20,40,1,19,18,13,3
10598,26,30,32,25,31,42,28,9,24,24
130872,10,39,31,38,47,0,30,15,35,26
9131,19,6,23,38,12,8,47,17,48,26
51390,3,17,0,2,2,10,9,41,0,48
9255,3,17,0,2,2,10,9,41,0,48
7965,28,37,27,6,22,45,23,6,32,29
9049,18,37,27,18,47,0,13,6,32,29
84962,38,18,28,41,36,39,49,8,47,13
204,5,27,21,25,3,15,47,10,30,14
50808,26,13,26,33,24,22,27,5,39,46
205,35,35,8,2,6,26,2,17,45,21
102157402,19,21,32,35,6,42,47,24,29,2
221264,10,23,8,38,17,15,47,45,2,19
11216,26,2,32,46,34,42,18,9,48,24
11215,13,13,33,21,5,22,27,5,39,46
9590,1,23,5,7,14,45,11,36,49,26
11214,22,35,23,7,14,15,20,9,2,28
8227,18,33,40,18,22,29,32,6,22,1
9472,40,49,35,23,8,17,19,44,1,45
10270,3,17,0,2,2,10,9,41,0,48
26993,13,30,26,33,10,22,27,5,35,5
10142,39,22,12,22,48,46,33,46,13,35
56672,18,10,7,6,10,0,32,22,22,2
79647,4,31,16,31,19,17,36,13,40,0
55122,12,40,20,10,25,17,10,44,43,0
10327,5,10,40,18,22,29,23,22,22,5
231,29,5,42,29,29,28,43,11,1,37
8574,25,47,24,14,45,37,29,29,27,18
207,0,33,31,38,12,31,32,15,35,28
208,0,33,31,4,10,31,23,17,35,43
10000,29,22,18,22,19,20,33,23,38,34
64400,1,19,21,32,12,15,20,15,49,12
210,29,31,2,13,19,16,37,13,38,34
211,10,34,35,24,32,1,24,36,29,3
214,1,26,17,24,14,8,24,36,2,3
5832,4,6,36,13,19,43,40,39,9,19
217,10,2,30,25,31,26,28,35,46,24
224,26,23,36,19,5,19,44,5,24,46
7915,3,17,0,2,2,10,9,41,0,48
4329,0,34,17,24,19,16,24,10,8,5
501,11,26,35,24,8,1,19,36,22,5
223,28,37,27,6,22,29,13,22,22,28
226,26,2,32,33,24,26,27,9,46,24
79868,22,33,31,38,34,45,20,6,35,26
85365,46,6,39,32,34,15,2,15,10,19
