,0,1,2,3,4,5,6,7,8,9
8086,5,70,160,136,170,3,4,19,184,150
51166,32,122,44,116,40,118,189,26,74,143
195827,72,11,45,42,99,109,126,39,21,63
79719,127,92,171,77,30,45,116,189,96,199
22848,36,92,192,99,67,21,158,66,134,140
28971,71,18,119,62,44,36,58,10,186,16
14,116,121,120,35,138,110,43,56,170,97
16,36,127,145,77,30,45,175,198,96,67
132949,106,54,52,161,79,182,188,17,31,141
60496,21,96,68,188,33,65,107,104,108,18
10157,55,74,162,99,146,184,7,5,183,121
26574,56,21,134,50,7,109,70,130,142,29
18,13,146,37,197,77,90,99,122,177,108
23461,157,124,17,26,134,196,46,183,40,61
10351,35,94,77,108,23,185,135,3,106,19
22,162,130,73,30,33,124,124,31,64,123
10057,80,120,94,128,42,160,25,11,88,122
5825,82,127,13,77,30,78,147,20,36,94
5826,9,71,86,78,70,93,173,74,16,137
6059,55,106,59,162,6,184,7,189,145,3
23,40,160,146,67,105,174,177,153,13,51
10061,65,9,31,170,64,44,131,135,11,177
9619,155,38,98,96,158,108,124,199,151,145
25864,33,30,145,53,185,69,80,28,113,36
11057,108,9,154,58,41,54,22,89,69,18
10006,164,8,133,193,21,79,10,180,90,72
10152,9,71,11,78,102,102,116,95,119,116
25,162,34,152,161,79,192,26,104,82,28
3983,55,8,23,17,84,144,4,81,29,140
29,47,125,52,112,26,17,48,152,27,16
29777,19,59,132,136,152,27,154,43,10,118
30,71,82,6,48,112,141,36,5,37,16
10449,135,196,143,47,125,24,142,12,79,32
80724,17,174,13,77,30,187,147,198,36,34
34,148,102,43,46,103,37,55,72,109,9
36,144,112,19,133,102,102,31,95,35,5
37,82,127,13,77,30,46,147,198,36,94
23527,136,152,57,90,46,90,171,11,95,59
38,144,112,19,78,102,102,31,95,35,5
39,143,167,93,73,1,17,42,106,149,116
64746,72,56,76,139,134,65,34,17,108,171
91452,86,48,141,165,115,88,47,167,176,174
84320,165,111,108,166,87,108,124,41,49,45
65057,111,171,132,192,57,119,145,69,75,87
55331,47,16,17,136,182,81,137,31,51,141
22985,195,115,113,44,92,81,81,153,129,171
47,167,8,137,62,185,182,56,87,80,185
48,196,80,101,128,104,115,101,61,8,21
50,113,115,146,188,92,158,40,17,78,41
55856,35,94,77,108,23,185,135,3,106,19
10965,71,33,71,55,136,187,36,74,183,3
11332,149,8,148,2,136,21,32,194,119,111
10005,57,4,72,88,146,19,34,69,26,93
23597,36,82,121,6,39,107,175,20,96,160
51,120,52,119,102,194,16,4,156,186,71
52,39,91,133,3,141,79,126,140,174,194
53,8,74,148,73,112,45,173,66,84,87
2181,172,196,130,156,21,102,162,104,108,60
2182,45,169,141,9,186,106,20,23,28,4
79611,21,60,143,86,91,61,33,52,137,54
60,17,174,13,2,30,78,80,28,36,67
71,71,92,137,2,79,69,80,57,39,87
86,112,59,130,58,152,104,154,19,71,48
87,123,142,88,112,66,17,42,106,27,175
81,92,193,72,141,134,72,126,99,135,13
55860,71,74,123,119,164,177,91,194,79,166
10121,144,112,19,78,70,102,31,95,16,5
10120,71,174,71,173,169,31,147,32,134,116
10097,17,30,111,53,164,92,138,57,75,74
10096,5,106,90,52,193,33,89,30,9,95
64431,144,112,19,78,102,102,31,95,35,5
93973,35,94,77,108,23,185,56,3,106,19
91,120,70,68,102,24,158,4,77,186,93
92,178,74,71,17,164,51,158,95,183,116
93,8,92,49,124,146,31,160,66,68,36
97,97,166,55,50,83,127,28,59,40,123
98,44,39,21,154,69,108,115,53,7,46
161823,176,12,37,178,61,112,176,157,122,10
102,17,127,171,73,30,92,80,198,36,67
6868,55,171,49,193,13,100,160,48,26,49
8754,78,61,65,161,88,192,125,22,103,3
9510,59,115,4,13,22,27,5,77,69,171
11174,38,192,75,3,146,32,160,19,75,44
56999,179,44,116,119,35,132,91,56,140,97
92949,127,192,137,73,67,93,36,194,2,111
103,149,174,171,173,148,45,80,100,39,72
23536,35,82,145,6,159,100,56,3,84,116
116,22,8,136,173,132,184,19,20,96,74
118,8,30,148,142,70,141,158,66,37,64
120,148,102,43,46,51,37,55,72,109,9
166647,178,8,26,124,132,33,32,66,75,87
9289,9,55,27,130,70,93,41,74,16,137
57211,127,23,23,48,132,92,116,194,96,34
22859,55,197,111,6,169,31,158,32,75,98
23266,38,13,86,3,35,58,116,180,129,16
23284,38,71,27,30,6,19,160,74,128,95
84059,8,192,193,48,84,177,173,28,119,36
128,149,72,121,53,169,177,158,5,29,67
55256,188,173,44,116,83,108,124,186,46,13
51094,39,192,145,73,27,58,7,20,68,99
79602,91,22,42,29,111,117,121,108,53,157
132,36,127,121,124,112,45,158,33,68,112
23394,62,91,137,40,65,39,34,43,137,118
22850,71,127,111,173,13,58,147,198,96,87
84890,144,71,19,78,102,102,31,95,75,104
83440,55,108,49,193,47,92,53,33,111,36
11047,94,166,166,5,85,62,79,53,13,2
158,17,8,11,100,13,31,138,21,39,140
159,94,84,9,116,41,50,22,53,142,90
121536,33,10,123,141,57,107,175,140,131,12
166,188,124,5,13,45,180,12,77,21,69
60312,162,115,64,161,111,145,2,143,67,32
4301,164,34,132,1,194,3,34,69,84,61
3899,47,55,49,193,127,182,195,120,113,44
27125,21,125,39,84,57,65,18,5,90,146
172,135,63,75,142,5,183,32,12,84,32
10939,55,108,1,89,21,100,175,163,189,110
54812,10,59,44,188,152,59,154,69,115,81
175,161,143,28,139,56,3,195,143,166,143
116987,149,125,93,61,193,141,195,52,37,148
60509,52,188,54,29,153,135,121,117,53,24
3267,127,33,137,2,70,93,36,74,16,137
55109,179,121,120,119,138,110,91,56,140,97
178,167,179,171,73,55,187,80,179,134,64
26523,47,125,159,162,171,134,27,180,39,3
27161,10,39,146,67,22,54,131,52,45,163
192669,16,13,27,55,44,21,41,163,68,185
192670,10,198,81,67,40,22,145,135,76,61
10554,131,191,42,88,134,123,107,30,51,46
56894,56,11,102,187,49,84,20,161,8,165
56895,38,92,137,61,65,69,154,140,71,185
55326,104,173,20,116,40,108,40,136,5,159
8540,72,81,65,42,97,125,87,85,174,81
23287,144,112,19,78,102,102,31,95,16,112
57085,71,74,126,53,136,21,27,21,189,185
25909,82,127,171,73,30,78,80,28,36,67
191,43,63,12,142,57,119,162,180,137,54
10768,22,60,111,110,47,46,53,106,39,98
54806,15,136,193,99,97,128,142,189,113,37
10598,149,60,148,48,116,61,80,189,36,36
130872,39,74,123,73,112,92,137,179,29,87
9131,111,54,11,137,60,33,6,129,71,150
51390,72,141,62,64,106,105,113,153,28,159
9255,13,146,110,178,61,112,176,11,112,10
7965,120,151,119,193,47,80,33,100,71,72
9049,19,71,25,175,152,47,81,129,10,28
84962,16,92,11,17,67,45,138,33,37,98
204,78,193,55,5,7,118,10,15,172,193
50808,18,167,93,110,1,17,42,100,149,72
205,162,141,17,67,105,124,151,37,116,13
102157402,106,30,137,3,185,182,137,87,80,185
221264,79,11,20,26,22,13,124,59,92,63
11216,140,120,63,60,176,12,59,67,105,17
11215,82,174,71,73,116,78,116,198,37,166
9590,195,106,60,64,7,196,89,137,86,18
11214,4,119,96,38,17,113,75,14,87,76
8227,9,71,27,55,70,93,41,74,16,137
9472,157,143,65,86,19,186,98,22,161,28
10270,143,142,88,112,67,177,42,100,111,175
26993,155,113,48,138,158,86,72,199,98,145
10142,164,196,68,21,6,107,142,104,184,99
56672,82,23,171,8,13,45,147,29,183,104
79647,72,137,1,59,170,65,162,120,139,1
55122,32,81,58,30,64,186,131,156,5,95
10327,171,73,187,12,59,191,14,116,40,42
231,33,18,6,192,193,33,137,20,113,16
8574,32,193,58,175,129,52,189,35,5,7
207,165,145,2,96,69,106,60,15,13,51
208,135,136,64,84,97,128,142,102,57,166
10000,12,112,19,78,102,102,31,95,183,5
64400,16,23,49,61,148,92,7,5,26,121
210,33,54,140,192,13,45,36,85,131,74
211,10,196,52,3,170,72,33,19,5,54
214,18,167,137,112,55,17,27,21,131,111
5832,16,174,148,73,55,42,19,5,96,112
217,39,98,136,2,84,92,173,5,2,36
224,8,98,49,53,30,45,32,28,36,67
7915,18,92,49,73,136,187,32,21,2,148
4329,39,23,123,2,116,69,116,85,134,116
501,17,98,148,53,55,177,138,28,2,104
223,2,11,73,116,7,44,40,23,59,78
226,110,124,55,116,83,127,63,58,172,43
79868,167,70,23,124,148,177,154,83,39,148
85365,52,188,54,29,153,135,121,191,101,24
10195,106,61,4,40,79,158,119,19,69,163
29880,16,151,162,47,47,144,53,83,2,50
79053,5,82,162,53,55,92,7,140,119,99
54890,22,174,145,47,148,177,138,87,79,99
84266,36,92,93,99,30,177,36,100,149,36
7840,157,79,113,109,127,20,186,130,181,18
57679,82,197,145,77,30,45,147,28,36,94
10189,21,54,140,113,65,119,6,19,71,32
262,39,23,123,173,57,36,173,120,84,74
267,149,174,162,8,164,78,138,198,36,112
9949,9,71,192,55,70,93,41,74,16,137
83607,8,174,145,48,136,45,173,66,96,104
196394,83,77,5,90,83,50,25,39,49,55
154796,32,119,62,38,85,54,131,14,103,76
154810,10,166,156,67,5,104,96,89,30,33
51421,36,92,50,99,30,42,53,179,79,34
280,24,33,11,124,174,79,32,21,79,121
51321,42,22,103,29,100,8,128,108,101,109
201283,16,8,90,6,193,145,29,29,189,31
10393,35,112,19,133,159,175,56,3,35,22
51529,158,15,130,42,76,192,22,65,103,61
25847,59,151,113,102,127,138,5,83,186,71
25906,17,174,13,77,30,45,147,189,26,94
119504,44,160,25,5,3,191,177,4,34,2
29945,64,11,134,96,83,108,141,23,105,29
51433,135,179,171,73,67,141,147,194,2,140
51434,172,112,19,78,102,102,31,95,75,5
90806,116,121,120,35,138,110,43,184,170,97
284,24,63,39,8,13,21,7,194,37,31
287,16,33,140,100,148,80,4,81,37,150
288,144,71,19,78,102,102,31,95,183,5
63926,149,33,6,99,65,14,33,104,90,104
51479,149,92,148,99,27,45,80,198,36,94
54467,149,29,32,14,39,82,182,175,102,160
23141,112,10,69,110,76,36,162,17,18,143
57037,8,127,148,77,55,141,173,33,39,94
57763,120,151,119,102,131,80,160,10,186,12
55608,22,92,171,48,169,42,116,5,26,34
29123,19,59,132,56,152,137,154,2,10,194
23253,143,142,93,11,26,17,42,60,149,175
88455,165,38,108,116,54,15,74,116,187,100
81573,39,108,49,89,13,69,138,33,84,121
26057,33,129,6,162,170,124,17,43,174,81
22852,144,197,137,78,27,78,138,95,183,137
23243,127,171,159,124,24,58,19,66,134,49
147463,35,112,77,133,128,175,56,3,35,19
375248,57,70,123,86,194,69,2,180,80,3
57730,131,81,30,30,21,30,89,132,106,56
84832,59,151,86,102,141,100,10,10,186,121
400986,82,197,111,77,169,144,158,100,96,36
51239,9,55,86,130,52,93,32,163,96,44
157567,57,56,30,1,5,55,30,2,174,61
54851,73,107,45,172,45,63,194,101,146,91
57182,116,121,91,35,138,110,43,184,170,97
129138,82,127,162,77,13,45,138,198,134,36
22881,8,92,162,47,47,46,53,189,96,166
23294,71,92,26,173,132,92,158,85,75,111
124401,111,108,1,3,194,3,98,43,174,20
55139,31,192,143,62,132,123,188,20,31,110
54443,199,59,134,115,71,137,8,64,20,2
55129,35,94,47,108,23,1,135,65,106,81
121601,16,192,26,73,185,182,137,87,75,116
203859,161,106,75,88,141,22,69,30,131,118
196527,97,62,5,98,99,22,51,23,116,56
8125,16,171,145,17,132,36,137,33,39,104
10541,39,33,90,177,132,36,137,5,189,148
23520,28,105,30,13,194,164,113,17,110,32
81611,22,74,137,17,185,78,95,32,96,148
84168,72,9,166,175,25,186,8,26,5,13
118429,10,4,65,113,91,154,87,129,30,189
311,143,142,88,112,1,17,42,60,149,175
302,135,8,137,173,185,58,58,33,79,148
304,42,188,103,29,100,117,121,191,53,109
307,55,8,13,99,185,78,138,179,2,140
308,146,122,2,13,96,104,189,130,67,53
309,179,54,160,119,125,132,91,102,94,65
