,0,1,2,3,4,5,6,7,8,9
8086,40,44,34,48,27,46,34,15,37,39
51166,0,14,10,20,43,43,43,7,46,48
195827,22,39,42,12,57,42,32,52,55,25
79719,9,35,17,37,42,21,58,15,10,7
22848,53,34,0,26,28,30,15,27,6,4
28971,13,48,29,15,20,4,16,51,58,58
14,12,14,29,3,43,43,16,39,22,58
16,1,34,26,44,25,0,41,58,6,49
132949,1,2,27,2,28,31,49,10,36,15
60496,38,45,27,54,2,18,14,6,36,3
10157,1,53,58,16,49,25,53,57,6,4
26574,1,37,58,16,28,30,53,57,43,55
18,56,11,22,49,48,22,6,30,57,23
23461,42,33,31,32,24,54,3,14,44,31
10351,27,53,0,54,49,46,41,42,43,55
22,18,41,46,58,10,50,27,0,7,59
10057,12,15,56,13,41,29,19,39,21,2
5825,57,4,3,45,36,34,20,35,16,50
5826,27,2,58,54,2,30,59,42,6,4
6059,22,39,20,18,36,5,14,26,29,17
23,44,23,24,50,47,6,42,45,56,57
10061,46,26,33,19,1,10,11,46,52,14
25864,4,0,26,24,25,25,8,59,18,49
11057,14,10,0,17,49,46,12,19,8,55
10006,34,58,45,50,58,40,50,32,4,0
10152,22,59,10,20,20,39,45,7,46,5
25,11,25,24,50,23,6,12,3,1,0
3983,6,5,9,33,11,53,30,28,14,22
29,45,47,52,3,18,8,21,11,42,52
29777,13,24,29,3,40,7,1,51,31,9
30,49,23,0,35,47,40,41,3,36,57
10449,14,53,58,17,2,48,49,57,8,55
80724,16,56,44,12,8,29,45,12,10,37
34,15,35,19,13,41,59,45,49,21,47
36,38,32,21,11,54,5,49,2,36,10
37,27,34,58,0,2,30,54,42,8,55
23527,45,54,52,53,18,8,21,12,42,33
38,44,23,8,51,39,32,23,32,1,28
39,14,9,27,0,54,0,12,27,40,49
64746,27,37,27,54,28,17,53,42,26,4
91452,33,55,25,52,55,38,48,24,48,44
84320,59,49,51,30,37,15,10,18,25,46
65057,11,12,38,24,9,5,8,26,55,3
55331,59,49,51,8,37,15,10,18,25,46
22985,14,27,13,26,28,19,8,19,8,26
47,53,48,27,26,54,25,54,42,26,4
48,38,11,20,13,40,43,24,29,29,17
50,3,11,22,22,53,49,24,16,57,23
55856,5,28,47,38,34,58,57,22,49,53
10965,53,24,38,3,49,37,1,26,29,15
11332,32,33,39,32,24,54,36,14,44,10
10005,9,59,10,13,7,7,1,51,50,5
23597,31,45,21,55,44,55,4,2,36,3
51,18,14,1,40,38,9,27,36,38,12
52,18,12,40,28,54,39,32,43,12,30
53,3,11,22,55,53,42,24,16,40,17
2181,53,29,27,18,54,18,4,10,36,3
2182,14,2,26,54,23,0,41,10,18,55
79611,12,12,40,28,9,37,15,2,12,10
60,27,37,27,16,28,30,53,57,6,55
71,31,39,16,58,4,18,32,34,29,10
86,27,27,27,2,2,30,54,42,6,4
87,6,5,9,33,11,53,30,28,14,22
81,0,48,23,12,44,18,16,2,53,15
55860,19,45,21,43,30,6,42,10,40,45
10121,13,35,42,41,57,7,1,51,58,7
10120,1,5,58,33,2,30,53,10,6,22
10097,38,45,50,22,4,55,49,12,50,33
10096,39,39,16,55,30,42,32,34,12,17
64431,22,29,16,43,57,42,4,6,55,37
93973,50,40,4,4,59,29,43,5,9,32
91,11,25,24,43,0,6,18,34,1,45
92,11,34,13,54,2,31,54,58,43,26
93,48,21,45,41,41,40,16,0,0,28
97,15,13,19,34,45,21,0,49,41,2
98,32,6,56,39,7,36,47,17,45,2
161823,33,50,25,10,35,14,9,13,28,8
102,16,14,10,13,20,45,45,7,52,37
6868,26,34,58,2,49,30,53,57,26,15
8754,52,39,40,11,30,37,49,2,55,10
9510,55,0,49,44,27,46,34,59,20,39
11174,31,56,16,49,57,42,32,34,55,17
56999,44,25,8,51,39,6,39,45,56,21
103,0,14,29,15,20,33,1,49,46,32
23536,53,2,26,26,28,55,54,27,36,10
118,1,32,58,2,2,30,59,42,6,4
120,40,23,49,44,47,40,41,25,20,57
166647,53,38,27,47,0,31,15,27,40,57
9289,8,26,56,13,20,11,11,44,35,7
57211,53,2,27,0,30,55,49,42,43,15
22859,8,35,19,41,7,1,16,23,53,20
23266,16,59,28,20,20,1,16,44,53,48
23284,38,48,41,55,44,4,16,23,58,30
84059,53,32,24,35,0,31,15,48,4,0
128,1,53,58,26,28,25,12,42,40,55
55256,14,34,27,0,28,17,41,10,47,4
51094,4,39,38,12,54,55,15,34,55,25
79602,43,58,8,50,58,40,23,32,15,21
132,34,25,38,47,47,32,15,3,1,35
23394,19,38,24,44,0,13,12,48,27,57
22850,23,21,17,34,57,45,31,34,2,37
84890,58,26,18,59,59,29,19,5,39,2
83440,26,48,3,18,44,5,16,44,12,30
11047,42,33,39,32,24,54,3,14,44,31
158,43,53,13,17,25,46,12,45,8,26
159,4,38,45,35,25,31,59,10,4,0
121536,26,12,38,11,54,39,15,6,40,10
166,27,53,27,16,2,30,53,57,26,4
60312,1,34,58,16,28,25,54,28,6,4
4301,5,55,35,27,34,57,57,24,33,53
3899,14,34,23,0,2,5,8,27,47,4
27125,6,5,9,33,28,53,30,28,6,22
172,39,29,20,0,30,55,49,10,55,25
10939,11,37,38,54,30,31,36,3,40,3
54812,22,45,23,11,40,18,4,6,34,10
175,19,44,34,44,27,46,34,59,37,39
116987,50,26,4,31,7,33,43,49,5,14
60509,6,5,9,33,11,53,30,28,14,22
3267,52,32,23,3,9,37,15,58,15,9
55109,1,37,58,16,28,30,53,28,14,22
178,27,2,27,54,28,25,12,58,6,4
26523,37,6,18,37,59,45,58,31,41,34
27161,29,8,16,15,20,11,31,23,50,45
192669,10,42,6,10,35,44,44,21,59,8
192670,55,44,34,44,27,46,34,25,37,39
10554,50,30,4,31,51,33,43,9,10,36
56894,16,21,10,34,57,20,40,7,58,48
56895,40,9,34,24,23,52,2,25,20,13
55326,8,36,4,31,12,33,43,9,5,12
8540,10,40,35,57,46,38,7,31,3,24
23287,58,17,32,5,46,36,7,5,39,24
57085,38,34,41,22,30,55,54,34,29,17
25909,26,53,41,2,2,55,54,27,26,55
191,27,37,27,2,2,25,53,42,26,4
10768,46,17,48,19,1,36,0,1,3,24
54806,3,11,0,11,53,49,24,16,26,15
10598,55,44,34,44,27,46,34,25,20,39
130872,45,54,52,5,18,8,21,12,42,33
9131,6,5,9,33,11,53,30,28,14,22
51390,48,29,41,35,16,42,42,26,1,15
9255,40,27,13,21,27,0,2,58,20,13
7965,27,37,0,54,49,31,41,27,18,4
9049,57,4,3,45,26,34,20,35,16,50
84962,38,39,41,55,5,55,14,2,18,17
204,44,23,8,51,39,23,23,32,15,21
50808,57,30,30,38,26,34,20,35,49,1
205,55,10,28,37,42,45,58,52,41,41
102157402,26,45,50,24,4,8,15,6,29,3
221264,16,48,41,41,44,4,33,44,50,30
11216,27,32,27,0,0,17,12,42,43,55
11215,38,32,21,55,54,55,32,43,55,3
9590,55,13,17,37,42,21,58,15,41,34
11214,1,34,58,54,0,31,36,42,40,55
8227,27,2,27,0,25,31,59,42,6,4
9472,14,34,58,21,28,19,54,19,8,4
10270,31,45,41,12,57,18,5,52,55,10
26993,53,45,38,55,30,18,15,10,34,35
10142,1,25,0,47,58,17,12,27,4,0
56672,16,59,17,37,42,21,58,15,41,41
79647,50,15,4,31,59,29,17,49,5,14
55122,43,16,45,47,49,5,42,48,56,57
10327,27,27,13,17,2,31,12,19,8,55
231,6,5,9,33,11,53,30,28,14,22
8574,21,52,22,36,48,22,6,30,57,23
207,31,56,16,15,8,42,49,52,55,17
208,4,29,42,18,57,31,18,10,12,25
10000,1,37,9,16,2,53,53,42,6,4
64400,36,17,48,59,1,24,55,31,23,14
210,10,7,37,27,31,44,13,33,24,19
211,30,35,56,34,7,20,31,49,5,47
214,56,52,53,49,3,49,6,30,13,23
5832,4,38,24,0,0,5,15,48,34,57
217,26,32,23,18,4,5,4,10,36,3
224,4,34,58,18,30,5,49,2,6,15
7915,19,2,26,44,23,0,12,59,18,49
4329,22,39,38,11,5,42,4,0,7,17
501,30,28,47,34,26,58,57,22,49,1
223,6,34,0,16,2,25,59,57,6,4
226,25,56,20,15,44,18,16,26,46,17
79868,6,5,9,33,11,53,30,28,14,22
85365,14,53,58,54,2,25,54,42,26,55
10195,53,25,21,24,0,6,49,34,36,0
29880,25,29,44,58,4,39,21,34,29,10
79053,52,2,38,16,54,48,15,3,36,35
54890,55,10,13,21,23,52,2,58,43,13
84266,55,13,44,41,42,21,58,15,41,13
7840,26,39,41,54,54,5,36,10,29,10
57679,26,39,41,55,44,31,4,10,36,3
10189,53,56,20,12,57,42,32,12,55,25
262,12,12,23,3,9,37,15,11,42,35
267,49,12,40,18,9,32,18,3,36,35
9949,13,24,29,3,43,7,1,11,22,58
83607,6,5,9,33,11,53,30,28,14,22
196394,39,16,24,47,0,31,50,3,4,57
154796,53,12,41,11,25,42,4,10,29,25
154810,42,33,39,32,24,54,3,14,44,31
51421,57,4,45,45,26,34,20,35,16,15
280,33,7,54,10,22,16,13,50,59,8
51321,52,54,40,53,4,8,21,12,34,33
201283,26,27,13,21,5,55,5,19,43,26
10393,14,27,13,17,28,19,12,27,8,26
51529,26,48,3,28,44,4,40,2,36,3
25847,52,16,40,50,47,32,50,0,1,35
25906,11,2,40,54,49,48,15,2,34,35
119504,58,14,1,19,38,9,11,39,38,12
29945,8,14,12,9,43,7,1,51,2,36
51433,8,57,28,13,7,1,11,39,35,32
51434,19,9,34,44,27,52,34,59,20,39
