,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
153,ALL,90,90,0.9426870150071242,"0.8986028849159718
",0.920644949961548
11,ALL,100,60,0.9512312855822457,"0.8895978689044632
",0.9204145772433545
124,ALL,70,80,0.9313892219604339,"0.9093519669332255
",0.9203705944468297
14,ALL,100,80,0.9487685908694543,"0.8914818488403988
",0.9201252198549266
97,ALL,50,100,0.9060720554370334,"0.9339240270604543
",0.9199980412487438
142,ALL,80,80,0.9402922977064399,"0.8982051666142348
",0.9192487321603373
115,ALL,60,90,0.9226978408328556,"0.9151881915242011
",0.9189430161785284
33,ALL,125,75,0.957905241781612,"0.878704014834382
",0.918304628307997
56,ALL,200,50,0.9710122069136014,"0.865521337280084
",0.9182667720968427
34,ALL,150,100,0.961100777558786,"0.8747941977830858
",0.9179474876709359
149,ALL,90,50,0.9466278401965702,"0.8891933492310604
",0.9179105947138153
42,ALL,175,100,0.9645421980278205,"0.8712205628143006
",0.9178813804210606
133,ALL,75,75,0.9361188461986448,"0.8990961462951206
",0.9176074962468828
114,ALL,60,80,0.9229537994551418,"0.912033974471407
",0.9174938869632744
141,ALL,80,70,0.9402961094824593,"0.8937855705671693
",0.9170408400248143
105,ALL,50,90,0.9076121637616187,"0.9247713241225679
",0.9161917439420932
40,ALL,150,50,0.965636946195342,"0.866631256351873
",0.9161341012736075
122,ALL,70,60,0.9323224100702885,"0.8995511904433247
",0.9159368002568066
10,ALL,100,50,0.9516015175632974,"0.8800587832840735
",0.9158301504236854
113,ALL,60,70,0.9210012965045239,"0.9099443340129787
",0.9154728152587512
12,ALL,100,70,0.9496687217702788,"0.8812227894539202
",0.9154457556120995
41,ALL,150,75,0.9630555233076669,"0.867439647948946
",0.9152475856283064
50,ALL,200,100,0.966142658912488,"0.8639181568290866
",0.9150304078707873
140,ALL,80,60,0.9406606372234181,"0.8893180410439387
",0.9149893391336784
139,ALL,80,50,0.9428400190343442,"0.8858078855435138
",0.914323952288929
48,ALL,175,50,0.9684983502055043,"0.8597123181755312
",0.9141053341905178
112,ALL,60,60,0.9227361753331952,"0.9054693553684734
",0.9141027653508342
57,ALL,200,75,0.9682935568541651,"0.8597460011587454
",0.9140197790064553
103,ALL,50,70,0.9104184505951026,"0.9168257027080137
",0.9136220766515581
132,ALL,75,50,0.9381627001254857,"0.8875898449053369
",0.9128762725154114
150,ALL,90,60,0.9459328614976308,"0.8797527215616541
",0.9128427915296424
68,ALL,250,100,0.9689466819920393,"0.8566597978219573
",0.9128032399069983
104,ALL,50,80,0.9056904189089853,"0.9186934889020476
",0.9121919539055164
74,ALL,250,50,0.973557096092863,"0.8507176661587826
",0.9121373811258229
148,ALL,90,40,0.9479166071193205,"0.875768089422714
",0.9118423482710172
32,ALL,125,50,0.9602936386423144,"0.8630501722617877
",0.911671905452051
49,ALL,175,75,0.9658801631049629,"0.857383334211391
",0.911631748658177
9,ALL,100,40,0.9528686095571025,"0.870265132040599
",0.9115668707988507
87,ALL,40,100,0.880856895313854,"0.9410317842676584
",0.9109443397907562
121,ALL,70,50,0.9315155435670346,"0.8899489492294252
",0.9107322463982299
138,ALL,80,40,0.9415664134279307,"0.8784815128202185
",0.9100239631240745
8,ALL,100,30,0.9535694214966853,"0.8652939771433866
",0.909431699320036
75,ALL,250,75,0.9714471775138698,"0.846076215847279
",0.9087616966805744
111,ALL,60,50,0.9213648681936033,"0.8951937783652482
",0.9082793232794257
120,ALL,70,40,0.9326148821050858,"0.8815077993118
",0.9070613407084429
110,ALL,60,40,0.9232356723844253,"0.8895703395431426
",0.906403005963784
147,ALL,90,30,0.9489811865403269,"0.863418741828067
",0.9061999641841969
102,ALL,50,60,0.9079226973640768,"0.9038392933059508
",0.9058809953350138
95,ALL,40,90,0.8793260377907659,"0.9308504548424853
",0.9050882463166257
94,ALL,40,80,0.8823760025328393,"0.9267320623952783
",0.9045540324640589
101,ALL,50,50,0.9077649988460456,"0.8997393617245252
",0.9037521802852854
93,ALL,40,70,0.8835711972906763,"0.9228727698189013
",0.9032219835547888
137,ALL,80,30,0.9428385279818321,"0.8630913043663503
",0.9029649161740911
100,ALL,50,40,0.9083482121934796,"0.8927854450655937
",0.9005668286295366
119,ALL,70,30,0.9350310195971132,"0.8635916909918544
",0.8993113552944838
109,ALL,60,30,0.9229059031050468,"0.8748110392747455
",0.8988584711898961
77,ALL,30,100,0.8557389554232165,"0.9414418098132888
",0.8985903826182526
92,ALL,40,60,0.8824785720858216,"0.9121638482816752
",0.8973212101837484
85,ALL,30,90,0.855332694608894,"0.9393058552529683
",0.8973192749309311
91,ALL,40,50,0.8801505133718721,"0.9077024723803948
",0.8939264928761335
99,ALL,50,30,0.9072695506152207,"0.8759857333142426
",0.8916276419647317
84,ALL,30,80,0.8512813069882232,"0.9308462444695971
",0.8910637757289102
83,ALL,30,70,0.8564914636990834,"0.9230573784769083
",0.8897744210879959
90,ALL,40,40,0.8817343546290627,"0.8964313041233425
",0.8890828293762025
146,ALL,90,20,0.9502511722354308,"0.8274466112579669
",0.8888488917466988
5,ALL,100,20,0.9536954628330034,"0.8232261982365385
",0.888460830534771
136,ALL,80,20,0.943779942739993,"0.8293425745629234
",0.8865612586514582
82,ALL,30,60,0.8482184780770943,"0.9205774688379759
",0.8843979734575351
81,ALL,30,50,0.8579924510801986,"0.90978563534209
",0.8838890432111444
89,ALL,40,30,0.8865564574654281,"0.8786729228498541
",0.882614690157641
59,ALL,20,100,0.8245945869622189,"0.9404789299182674
",0.8825367584402432
67,ALL,20,90,0.825102342747456,"0.9375556356253714
",0.8813289891864137
25,ALL,10,90,0.8248402365635038,"0.9374008234525694
",0.8811205300080366
118,ALL,70,20,0.93418023681016,"0.8279278892680716
",0.8810540630391158
108,ALL,60,20,0.9233276205669201,"0.8272079155019505
",0.8752677680344353
66,ALL,20,80,0.8169354765138698,"0.9302674801330895
",0.8736014783234796
80,ALL,30,40,0.852446206615672,"0.8942555129578892
",0.8733508597867806
65,ALL,20,70,0.8195940863861022,"0.9244357897898606
",0.8720149380879814
63,ALL,20,50,0.828903751009582,"0.913061953209036
",0.870982852109309
98,ALL,50,20,0.9039182028910279,"0.828740491238015
",0.8663293470645215
64,ALL,20,60,0.8141533202315346,"0.917473452385186
",0.8658133863083604
79,ALL,30,30,0.848759913817097,"0.8793757312495637
",0.8640678225333304
17,ALL,10,100,0.7803671010189579,"0.9442206559282648
",0.8622938784736114
24,ALL,10,80,0.7895797785669715,"0.9325941969733913
",0.8610869877701814
62,ALL,20,40,0.8196049480769044,"0.8995868166755704
",0.8595958823762374
88,ALL,40,20,0.8849748170986571,"0.8291220157978807
",0.8570484164482689
23,ALL,10,70,0.7858247520186982,"0.9233044949788123
",0.8545646234987552
61,ALL,20,30,0.8254246187959198,"0.8791713662264556
",0.8522979925111878
78,ALL,30,20,0.852780794140782,"0.8287346614909797
",0.8407577278158809
20,ALL,10,40,0.7810970640824273,"0.8977277751022386
",0.8394124195923329
21,ALL,10,50,0.757371157411756,"0.9083528130563305
",0.8328619852340433
22,ALL,10,60,0.7429884728787118,"0.9195413932294789
",0.8312649330540953
60,ALL,20,20,0.8286275168443068,"0.8283094138279309
",0.8284684653361188
19,ALL,10,30,0.7796451314865968,"0.8738786036146293
",0.826761867550613
0,ALL,100,10,0.9551135714415808,"0.688704136287112
",0.8219088538643464
144,ALL,90,10,0.9510182518252165,"0.6867599156311375
",0.818889083728177
134,ALL,80,10,0.9455646706243791,"0.685584897716859
",0.8155747841706191
116,ALL,70,10,0.9352496167988334,"0.6865720682248326
",0.810910842511833
106,ALL,60,10,0.9259294218187079,"0.6863298098455682
",0.806129615832138
96,ALL,50,10,0.9094341692446599,"0.6842608973767924
",0.7968475333107261
18,ALL,10,20,0.7469237719451012,"0.825867397545235
",0.786395584745168
86,ALL,40,10,0.8831925395915224,"0.6876926751662669
",0.7854426073788947
76,ALL,30,10,0.8571524625317081,"0.6863968519371351
",0.7717746572344215
58,ALL,20,10,0.8188565586888729,"0.6912598326382111
",0.755058195663542
16,ALL,10,10,0.7426820084158339,"0.6762734961080419
",0.7094777522619379
