,0,1,2,3,4,5,6,7,8,9
8086,77,110,46,3,57,23,121,39,74,45
51166,50,95,95,28,38,77,75,55,75,73
195827,13,32,115,51,106,12,12,15,28,87
79719,116,116,29,53,101,118,33,84,86,96
22848,122,22,9,28,6,63,58,14,93,44
28971,44,4,36,118,80,63,56,35,75,84
14,42,69,76,25,58,57,85,10,57,21
16,18,60,10,81,46,64,37,53,91,81
132949,55,49,36,11,80,115,50,124,70,33
60496,90,13,10,100,78,17,20,39,52,47
10157,56,41,18,39,30,100,100,1,34,120
26574,88,13,62,32,29,77,36,77,81,37
18,16,24,6,9,61,45,107,10,66,93
22,110,117,62,34,19,71,50,69,52,113
10057,88,29,46,50,20,77,87,77,103,37
5825,89,69,90,58,42,45,39,114,72,41
5826,30,13,36,109,57,63,56,95,4,47
6059,41,71,9,116,25,102,100,31,34,93
23,122,22,34,34,19,71,58,106,83,37
10061,30,32,16,66,50,53,42,17,73,7
25864,38,44,122,31,29,110,105,1,95,123
11057,18,117,9,39,20,40,96,60,81,81
10006,41,56,16,87,15,9,10,64,25,77
10152,1,56,60,68,74,53,61,35,16,23
25,90,29,34,11,29,28,43,8,88,61
3983,122,29,46,28,65,64,87,39,52,27
29,97,9,17,25,105,34,8,44,44,55
29777,20,31,20,13,102,78,14,7,69,54
30,38,68,9,34,19,24,88,1,70,123
10449,90,29,46,63,38,13,36,69,45,76
34,114,124,78,24,77,69,9,102,9,111
36,55,22,19,81,94,110,121,82,81,113
37,13,13,115,51,63,23,12,15,93,82
23527,25,83,81,50,29,71,122,82,88,61
38,21,5,92,8,51,50,122,40,88,110
39,1,56,109,8,23,9,66,115,44,48
64746,9,66,68,65,107,49,38,65,13,103
91452,67,22,19,61,66,77,66,55,103,61
84320,60,77,117,97,10,15,118,38,22,51
65057,38,46,122,3,46,23,124,1,95,61
55331,38,113,44,25,46,75,83,106,44,17
22985,44,45,25,124,29,115,121,2,20,73
47,90,49,62,32,38,73,24,106,115,76
48,2,110,81,63,2,86,20,122,70,123
50,13,72,115,116,106,97,12,35,16,87
55856,60,113,117,50,29,95,43,95,45,3
10965,50,97,10,11,94,60,7,39,45,27
11332,77,25,91,52,12,115,49,94,1,84
10005,90,49,34,81,78,61,114,2,115,81
23597,4,37,57,55,0,18,72,70,23,18
51,68,103,34,36,42,102,119,64,51,1
52,16,111,60,52,23,73,10,67,66,55
53,108,13,25,116,57,95,58,2,20,37
2181,55,49,62,94,1,13,24,69,52,37
2182,39,20,41,0,44,0,97,114,36,91
79611,23,102,52,6,14,35,95,37,114,115
60,65,34,36,118,80,81,56,83,20,67
71,98,60,22,34,20,77,43,124,12,33
86,55,41,25,100,22,60,3,45,12,45
87,2,95,46,124,94,37,36,14,71,61
81,43,46,38,31,122,124,19,88,95,47
55860,90,29,62,63,29,13,24,69,58,76
10121,4,32,41,23,102,27,14,100,2,28
10120,88,117,23,28,19,64,75,69,88,110
10097,109,20,118,48,10,113,116,120,22,51
10096,36,48,90,66,49,113,40,17,73,2
64431,47,89,24,68,50,75,42,10,44,7
93973,100,117,34,109,9,73,122,35,59,82
91,13,72,115,100,106,110,12,15,28,87
92,98,85,91,50,72,97,18,53,96,67
93,61,81,18,5,30,53,37,82,12,120
97,90,44,62,63,36,64,87,69,58,37
98,14,72,34,51,65,56,47,64,93,87
161823,41,7,60,52,51,28,4,56,60,47
102,6,31,71,13,61,16,76,18,33,124
6868,116,116,54,30,105,7,106,119,92,70
8754,44,41,2,116,63,61,48,67,56,47
9510,45,90,3,16,39,90,51,51,9,111
103,108,13,34,81,36,73,3,55,97,81
23536,88,29,5,124,46,23,87,8,45,37
118,98,49,46,109,78,73,87,90,56,37
120,25,49,9,32,20,17,37,45,97,27
166647,38,27,122,31,25,24,54,1,95,123
22859,47,120,35,39,41,57,64,67,34,64
23266,97,87,21,37,52,66,63,6,47,58
23284,77,83,23,116,113,40,121,83,41,47
84059,39,0,8,57,102,106,0,7,62,24
