,0,1,2,3,4,5,6,7,8,9
8086,3,8,10,18,8,1,5,14,11,16
51166,13,8,15,14,9,1,5,14,10,16
195827,10,7,0,14,0,12,2,1,5,7
79719,3,8,10,0,8,19,5,19,11,4
22848,19,12,12,16,12,11,15,15,14,6
28971,10,7,0,14,0,12,2,1,5,7
14,12,18,9,17,13,15,10,12,6,17
16,7,0,2,0,9,16,8,6,2,14
132949,13,8,15,18,8,5,8,8,11,16
60496,8,13,14,12,2,3,12,0,6,15
10157,7,18,10,18,13,14,0,19,17,4
26574,6,19,9,10,13,15,10,3,6,17
18,0,11,15,7,8,1,16,6,2,14
10351,19,12,12,16,12,11,3,15,14,6
22,10,7,15,14,0,12,2,1,5,7
10057,15,16,8,9,5,19,18,9,7,10
5825,10,7,0,14,0,12,2,1,5,7
5826,15,8,10,18,8,1,8,14,11,16
6059,3,8,10,18,8,14,0,14,11,16
23,13,8,15,18,8,1,5,8,11,16
10061,5,19,2,19,3,16,7,6,2,15
9619,8,19,17,17,17,3,1,0,0,13
11057,12,13,9,10,13,6,16,3,0,13
10006,0,18,6,0,8,14,8,12,17,4
10152,15,16,8,9,5,19,18,9,7,10
25,3,0,10,7,9,1,8,14,10,14
3983,13,11,15,14,9,1,5,1,10,16
29,11,17,7,5,7,5,5,11,18,1
29777,0,8,10,18,8,5,0,8,11,16
30,13,7,0,14,0,12,2,1,5,7
10449,10,7,0,14,0,12,2,1,5,7
80724,7,19,2,10,13,3,6,12,1,3
34,4,3,6,13,4,0,11,17,4,17
36,4,3,17,10,4,15,11,17,17,17
37,13,0,10,7,9,1,0,14,1,16
23527,7,0,10,19,3,16,0,6,2,14
38,13,7,0,14,0,5,2,1,5,7
39,10,7,0,14,0,12,2,1,5,7
64746,10,8,15,7,0,5,5,1,11,16
91452,19,12,12,16,12,11,15,15,14,6
84320,13,7,15,14,0,12,2,8,5,7
65057,10,7,0,14,0,12,2,1,5,7
55331,8,13,16,12,19,3,1,0,6,9
22985,13,8,15,18,8,5,5,14,11,16
47,0,8,10,0,11,14,13,12,11,3
48,10,7,0,14,0,12,2,1,5,7
50,0,10,4,13,11,9,13,19,12,4
55856,17,15,9,15,2,6,19,5,0,11
10965,12,15,9,17,17,3,3,0,6,0
11332,3,8,10,18,8,5,5,14,11,16
10005,0,11,15,7,11,1,5,14,10,16
23597,11,17,7,5,7,5,0,11,18,1
51,3,11,10,18,9,14,0,19,11,3
52,16,15,3,6,12,13,12,7,0,11
53,18,1,5,8,16,17,9,4,9,12
2181,4,2,13,4,1,10,19,13,4,5
2182,10,7,0,14,0,12,2,1,5,7
79611,12,10,4,17,11,9,13,19,12,4
60,13,11,15,18,8,12,5,14,11,7
71,13,8,10,7,9,5,0,14,10,16
86,16,15,3,6,15,13,3,7,8,11
87,8,19,9,17,19,13,1,3,16,18
81,16,15,3,6,17,13,3,7,0,9
55860,0,11,10,18,8,14,5,8,17,16
10121,16,15,14,6,5,13,1,7,16,5
10120,10,7,0,14,0,12,2,1,5,7
