,0,1,2,3,4,5,6,7,8,9
8086,28,23,32,32,21,35,31,5,43,43
51166,39,34,34,33,37,41,5,46,15,15
195827,46,33,0,9,40,6,29,38,15,47
79719,0,31,24,1,3,11,11,40,16,15
22848,3,19,17,39,28,21,36,44,3,32
28971,23,4,45,9,9,4,18,11,1,22
14,23,47,25,25,32,23,32,38,46,27
16,19,20,37,31,41,13,9,4,4,41
132949,47,33,2,14,19,48,32,38,13,15
60496,36,34,0,17,31,41,48,38,38,46
10157,49,11,8,46,8,9,16,25,29,34
26574,20,10,10,8,32,43,32,2,10,27
18,35,9,20,12,19,48,18,28,32,47
23461,8,45,40,32,0,43,31,2,25,2
22,20,28,22,30,19,48,18,35,13,39
10057,35,13,17,18,32,23,49,44,25,40
5825,17,25,23,24,46,24,3,36,45,37
5826,39,7,13,9,40,4,18,46,35,5
6059,28,3,40,35,22,35,31,27,21,13
23,5,33,25,12,19,48,14,38,32,47
10061,44,21,15,4,21,32,4,42,43,21
25864,2,15,37,35,9,38,39,48,39,5
11057,11,48,15,38,10,5,21,13,17,25
10006,35,21,17,18,32,27,49,22,21,41
10152,18,7,13,0,29,2,46,11,9,23
25,36,33,24,1,37,11,14,21,16,30
3983,47,33,48,1,3,28,11,40,16,31
29,23,13,0,6,19,18,5,28,27,29
29777,33,24,0,9,14,47,39,6,8,23
30,42,36,19,16,43,12,42,30,22,26
10449,25,19,20,25,9,42,10,2,27,22
80724,35,9,20,39,32,18,2,48,32,40
34,36,39,24,1,37,11,14,6,38,30
36,20,28,2,6,30,47,23,17,31,11
37,25,4,10,30,9,46,18,48,25,2
23527,23,45,45,9,28,43,2,2,10,47
38,23,9,30,25,19,18,10,2,35,47
39,33,33,25,6,37,26,29,46,38,30
64746,23,13,2,30,9,18,18,11,1,27
91452,5,24,45,9,5,26,29,46,13,24
84320,36,33,0,17,30,26,14,46,15,15
65057,23,4,47,8,19,48,28,38,13,11
55331,36,33,48,9,40,26,11,40,36,29
22985,47,4,2,14,19,4,14,46,13,24
47,46,4,25,12,40,6,18,6,38,24
48,23,9,20,12,32,18,48,46,32,29
50,21,28,7,25,9,31,0,33,31,11
55856,21,28,7,29,16,14,40,33,8,39
10965,18,34,34,17,29,41,46,21,9,46
11332,3,2,37,35,28,43,36,22,3,13
10005,5,9,12,39,24,48,10,48,13,40
23597,19,22,18,21,10,15,30,8,24,0
51,32,0,1,2,2,44,42,30,22,16
52,20,6,34,39,19,48,28,11,12,29
53,47,33,24,1,37,28,14,40,15,30
2181,0,31,48,42,3,17,11,23,16,31
2182,17,20,12,11,24,27,9,4,20,37
79611,33,24,26,29,5,26,28,33,1,11
60,20,6,30,6,32,6,29,11,1,27
71,22,38,44,43,22,37,34,35,40,19
86,8,23,40,32,21,27,33,16,24,19
87,3,2,37,25,34,27,33,44,10,19
81,22,38,44,25,9,18,0,6,13,2
55860,36,34,25,9,18,41,39,11,9,39
10121,24,23,37,5,28,38,36,2,10,19
10120,9,22,15,7,4,32,21,42,37,43
10097,33,8,45,30,35,42,10,17,35,2
10096,2,15,37,18,34,33,31,41,4,6
64431,18,34,13,33,29,41,46,21,36,46
93973,4,9,24,6,40,28,18,28,36,30
91,0,39,48,42,3,11,5,23,15,15
