,0,1,2,3,4,5,6,7,8,9
8086,29,15,3,10,16,0,1,0,29,8
51166,13,23,18,25,6,11,3,21,6,20
195827,17,26,27,14,6,11,25,18,18,20
79719,22,11,6,2,1,24,5,24,20,27
22848,14,15,3,17,16,0,1,0,29,8
28971,14,0,3,2,16,3,11,5,29,8
14,11,26,0,14,20,7,8,8,9,14
16,11,2,6,17,18,0,1,8,20,3
132949,29,15,3,5,16,0,1,26,29,15
60496,11,17,6,12,18,20,5,2,20,13
10157,4,17,5,6,15,3,14,12,23,0
26574,26,23,2,22,24,25,24,11,12,2
18,4,17,0,6,20,10,0,25,23,25
23461,22,26,12,10,15,19,5,8,9,13
22,17,4,2,11,24,11,24,7,15,7
10057,14,14,6,2,4,19,9,24,27,13
5825,2,6,15,5,0,8,21,22,2,15
5826,14,17,6,2,18,20,5,2,20,13
6059,22,26,5,17,4,19,5,7,15,23
23,29,6,15,21,18,0,1,22,20,3
10061,0,14,27,28,22,4,3,7,21,2
25864,20,21,20,14,4,27,3,8,26,13
11057,12,29,9,19,11,5,2,9,5,6
10006,6,23,27,24,29,2,19,7,13,25
10152,15,27,13,9,10,17,4,1,1,6
25,12,5,8,7,26,28,22,29,19,22
3983,29,15,3,12,16,0,1,0,0,8
29,2,6,15,21,0,8,21,22,2,15
29777,24,9,8,0,26,5,22,9,1,22
30,1,10,29,4,14,28,24,4,28,1
10449,15,27,16,9,21,21,13,23,14,6
80724,3,23,7,14,6,4,3,21,6,10
34,11,21,27,14,4,19,5,24,17,14
36,9,17,3,17,18,10,11,5,29,3
37,22,21,20,17,15,3,5,2,27,13
23527,0,28,12,11,6,11,3,7,6,23
38,17,21,20,14,22,20,5,8,21,5
39,16,19,25,26,7,18,23,10,4,16
64746,11,2,6,2,15,20,14,12,17,14
91452,23,14,18,1,15,3,3,2,9,14
84320,28,25,14,18,12,9,6,17,10,26
65057,14,15,15,17,0,0,1,5,20,15
55331,24,8,1,15,10,6,2,13,8,9
22985,4,21,12,16,20,18,8,8,6,0
47,17,14,12,24,22,11,3,7,15,23
48,18,20,24,3,5,23,7,20,14,4
50,29,15,6,2,0,20,1,26,2,15
55856,2,6,15,21,0,8,21,22,2,15
10965,29,15,15,5,0,8,21,22,29,15
11332,12,1,21,15,2,5,22,9,22,22
10005,2,6,15,5,0,0,21,26,2,3
23597,3,13,20,14,22,11,3,18,21,14
51,17,26,20,1,20,26,19,2,9,23
52,9,0,3,2,16,10,14,5,0,8
53,4,17,0,1,20,7,8,28,23,0
2181,2,6,15,21,0,8,21,22,2,15
2182,29,15,15,10,0,20,11,26,29,15
79611,29,15,15,2,16,0,1,0,29,3
60,11,2,5,25,18,19,11,2,20,3
71,29,15,3,5,18,0,14,0,29,3
86,23,4,27,24,6,24,25,18,18,27
87,17,21,20,14,15,19,3,21,9,14
81,29,15,15,5,0,8,1,5,2,15
55860,7,18,28,29,28,13,12,14,7,29
10121,29,15,15,21,0,8,21,0,2,15
10120,14,11,6,17,4,3,5,8,27,14
10097,3,26,20,14,22,19,9,8,17,20
10096,29,2,6,5,18,0,21,22,2,3
64431,29,15,3,17,16,10,14,0,27,3
93973,25,22,8,15,26,28,10,9,5,22
91,2,6,15,21,0,8,21,22,2,15
92,2,6,15,21,0,8,21,22,2,15
93,29,0,3,17,16,3,11,5,29,8
97,29,15,15,28,0,8,1,0,29,3
98,14,0,5,16,16,3,11,26,29,3
161823,3,21,20,12,4,7,9,2,6,24
102,3,26,27,28,4,4,3,21,17,23
6868,6,23,7,11,24,15,16,6,15,19
8754,17,26,12,11,8,2,26,7,9,5
9510,9,0,3,17,16,3,11,0,29,8
103,4,17,6,17,15,7,8,25,20,0
23536,2,15,15,10,0,8,1,26,29,15
118,0,28,27,11,22,4,3,6,6,20
120,10,8,8,19,25,17,13,9,22,22
166647,12,5,23,7,29,5,22,4,25,17
57211,24,8,1,15,10,14,10,19,3,9
22859,29,15,6,10,18,0,1,0,29,3
23266,16,19,19,26,7,16,29,10,4,16
23284,23,11,12,16,6,24,9,18,18,27
84059,2,6,15,21,0,8,21,22,2,15
128,17,26,0,1,6,11,3,12,15,25
55256,21,17,6,6,18,3,8,25,20,3
51094,2,6,15,21,0,8,21,22,2,15
79602,2,15,3,5,0,8,21,26,29,15
132,22,17,0,28,15,7,8,12,6,13
23394,29,15,3,17,18,0,11,5,29,3
22850,12,28,7,7,26,15,16,6,13,17
84890,3,11,20,28,1,11,9,24,17,20
83440,29,15,3,2,16,20,1,26,29,8
11047,0,21,18,28,15,24,14,21,18,13
158,9,15,3,2,16,10,11,0,29,8
159,29,6,15,5,0,0,1,22,29,15
121536,11,2,6,17,18,0,11,2,20,3
166,2,6,15,21,0,8,21,22,2,15
60312,11,2,5,25,18,3,5,8,20,3
4301,16,10,19,26,3,16,29,10,28,16
3899,29,17,5,12,18,10,8,0,29,0
27125,3,11,27,28,15,7,9,21,17,20
172,29,2,5,17,18,20,11,8,29,8
10939,14,15,15,2,0,0,1,5,29,15
54812,9,0,3,17,16,10,1,26,0,8
175,14,15,3,5,16,0,11,5,2,15
116987,1,10,29,8,14,1,18,29,28,1
60509,4,17,0,1,20,3,14,12,23,0
3267,2,6,15,21,0,8,21,22,2,15
55109,28,25,22,25,13,2,26,17,6,24
178,29,15,15,10,18,0,14,26,2,3
26523,21,17,6,12,18,10,8,12,23,0
27161,14,15,15,5,0,20,1,0,29,15
192669,11,2,15,28,18,0,21,22,20,3
192670,13,5,23,7,26,5,22,4,25,17
10554,2,6,15,21,0,8,21,22,2,15
56895,3,21,18,14,4,4,3,24,17,20
