,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
55,ALL,200,250,0.9602054369473968,"0.9804888588088161
",0.9703471478781065
73,ALL,250,250,0.9607524430777394,"0.977434922948757
",0.9690936830132482
47,ALL,175,250,0.9561723106241651,"0.9815941274468856
",0.9688832190355253
39,ALL,150,250,0.9540098532997598,"0.983322573927521
",0.9686662136136404
31,ALL,125,250,0.9489499737714001,"0.9834600166597257
",0.9662049952155629
7,ALL,100,250,0.9422726301010981,"0.9836838817159596
",0.9629782559085288
54,ALL,200,200,0.9599669284438483,"0.9618575593502444
",0.9609122438970463
131,ALL,75,250,0.9309822217962904,"0.9847683256976449
",0.9578752737469677
38,ALL,150,200,0.9572734209241814,"0.9579451270303745
",0.9576092739772779
46,ALL,175,200,0.958303242323469,"0.9566722199083376
",0.9574877311159034
6,ALL,100,200,0.9446495657984748,"0.9688936901291046
",0.9567716279637897
30,ALL,125,200,0.9489239056487895,"0.9638603706788684
",0.956392138163829
72,ALL,250,200,0.963363143602247,"0.9474854227404803
",0.9554242831713636
29,ALL,125,175,0.9518628569119085,"0.9548943148687888
",0.9533785858903487
37,ALL,150,175,0.9587417213490831,"0.9465753852561064
",0.9526585533025947
4,ALL,100,175,0.9442654014047688,"0.9605008329862476
",0.9523831171955082
45,ALL,175,175,0.9605915912173303,"0.9441253644314507
",0.9523584778243905
71,ALL,250,175,0.9650361819498854,"0.9381263015409836
",0.9515812417454346
130,ALL,75,200,0.9313759097886818,"0.9712484381507887
",0.9513121739697352
53,ALL,200,175,0.9628442000867512,"0.9378826530611866
",0.9503634265739689
129,ALL,75,175,0.9324629788952367,"0.9592518742190844
",0.9458574265571605
3,ALL,100,150,0.9457121631671366,"0.9450270720532957
",0.9453696176102162
28,ALL,125,150,0.9546902464926706,"0.9317326114118741
",0.9432114289522724
52,ALL,200,150,0.9625124790921705,"0.922857142857105
",0.9426848109746377
44,ALL,175,150,0.9620708428895849,"0.9208423573510591
",0.941456600120322
128,ALL,75,150,0.9316193478369226,"0.9465941274469173
",0.93910673764192
70,ALL,250,150,0.9646533034976855,"0.9135329029570481
",0.9390931032273668
36,ALL,150,150,0.9595856233063702,"0.9177509371095034
",0.9386682802079368
2,ALL,100,125,0.9474787798176135,"0.9220356101624065
",0.93475719499001
35,ALL,150,125,0.9610286992770466,"0.9072521865888967
",0.9341404429329716
43,ALL,175,125,0.9635040459300881,"0.9004477301124056
",0.9319758880212469
27,ALL,125,125,0.9535371528587043,"0.9095897542690229
",0.9315634535638636
69,ALL,250,125,0.9672231868102328,"0.8959032694709972
",0.931563228140615
127,ALL,75,125,0.933192036759765,"0.9278899416909601
",0.9305409892253625
51,ALL,200,125,0.9651648787281057,"0.8948490212410936
",0.9300069499845997
135,ALL,80,100,0.9386353681751534,"0.9158756768013314
",0.9272555224882424
126,ALL,75,100,0.9359734310983617,"0.9178680758017448
",0.9269207534500532
1,ALL,100,100,0.9484564274011686,"0.9049515826738573
",0.926704005037513
145,ALL,90,100,0.9432877320741113,"0.9062052269887362
",0.9247464795314237
26,ALL,125,100,0.9561796156300613,"0.8879841732610843
",0.9220818944455728
153,ALL,90,90,0.9466275735132814,"0.8967674927113476
",0.9216975331123145
117,ALL,70,100,0.9291559931791316,"0.9136844023323518
",0.9214201977557417
34,ALL,150,100,0.9605613818535416,"0.8811432736359206
",0.9208523277447311
50,ALL,200,100,0.9666339628426232,"0.875038004997855
",0.9208359839202391
15,ALL,100,90,0.9490444649552757,"0.8926270304039537
",0.9208357476796147
13,ALL,100,75,0.9502601629500655,"0.8902925864222954
",0.9202763746861804
143,ALL,80,90,0.9384392422882075,"0.901976259891692
",0.9202077510899498
42,ALL,175,100,0.9650358741403237,"0.8747709287796088
",0.9199034014599663
97,ALL,50,100,0.909013814294659,"0.9283558933777929
",0.918684853836226
125,ALL,70,90,0.9299946551463606,"0.9065332153269527
",0.9182639352366566
12,ALL,100,70,0.9512662178666812,"0.8846225531028415
",0.9179443854847613
115,ALL,60,90,0.9214376969223697,"0.9142487505206158
",0.9178432237214927
142,ALL,80,80,0.9390603280292598,"0.8959079550187246
",0.9174841415239922
107,ALL,60,100,0.9195628458156445,"0.9150973552686557
",0.9173301005421501
124,ALL,70,80,0.9315266817521783,"0.9030482090795534
",0.9172874454158659
33,ALL,125,75,0.9594815801833096,"0.8748125780924118
",0.9171470791378606
152,ALL,90,80,0.9452293076899901,"0.8888744273219049
",0.9170518675059476
114,ALL,60,80,0.9205526264411078,"0.9130419616826531
",0.9167972940618805
68,ALL,250,100,0.9697391476657888,"0.8609001457725195
",0.9153196467191542
123,ALL,70,70,0.9332040030512707,"0.8974078508954544
",0.9153059269733625
41,ALL,150,75,0.9629428891919114,"0.8676665972510756
",0.9153047432214936
11,ALL,100,60,0.9512012723153245,"0.8789816743023352
",0.9150914733088298
49,ALL,175,75,0.9671413566276126,"0.8625416493127194
",0.914841502970166
14,ALL,100,80,0.9510160963606145,"0.8777910245730464
",0.9144035604668304
151,ALL,90,70,0.9472774989690825,"0.8812442732194452
",0.9142608860942638
150,ALL,90,60,0.9476037954226613,"0.879919304456442
",0.9137615499395516
105,ALL,50,90,0.908185897270403,"0.9192086630570907
",0.9136972801637468
133,ALL,75,75,0.9353784438021386,"0.8907606205747429
",0.9130695321884408
140,ALL,80,60,0.9408732595964935,"0.8839296126613605
",0.912401436128927
57,ALL,200,75,0.9692708982474918,"0.8553373594334902
",0.912304128840491
141,ALL,80,70,0.941153691970828,"0.8822048104955976
",0.9116792512332128
87,ALL,40,100,0.8877971528226991,"0.9346605581008345
",0.9112288554617668
113,ALL,60,70,0.922111773786069,"0.8998979591836903
",0.9110048664848797
104,ALL,50,80,0.906915253863579,"0.9133053935860291
",0.910110323724804
148,ALL,90,40,0.9495937476767252,"0.8698354852144518
",0.9097146164455885
149,ALL,90,50,0.9484928258824058,"0.8704602249062416
",0.9094765253943238
122,ALL,70,60,0.9335106037357191,"0.8834308621407463
",0.9084707329382327
75,ALL,250,75,0.9703668226086223,"0.8452629112868846
",0.9078148669477535
139,ALL,80,50,0.9411774465898716,"0.8743721366097048
",0.9077747915997882
103,ALL,50,70,0.907777775911445,"0.9071688879633817
",0.9074733319374133
121,ALL,70,50,0.9321492241423358,"0.8789275301957271
",0.9055383771690315
94,ALL,40,80,0.8862106428477154,"0.9236536859642392
",0.9049321644059773
112,ALL,60,60,0.9208726882977207,"0.8884048313202675
",0.9046387598089941
132,ALL,75,50,0.937565200177182,"0.8713895251977908
",0.9044773626874865
138,ALL,80,40,0.9430470306836503,"0.8650869429403857
",0.9040669868120179
93,ALL,40,70,0.8906965530416158,"0.917287588504833
",0.9039920707732244
8,ALL,100,30,0.9539330264845025,"0.8530877759266168
",0.9035104012055597
111,ALL,60,50,0.9221306351119459,"0.8847402124114765
",0.9034354237617113
10,ALL,100,50,0.9522203072448095,"0.8546350478966208
",0.9034276775707152
9,ALL,100,40,0.9527867560406706,"0.8518247605163652
",0.9023057582785179
101,ALL,50,50,0.9092271715056421,"0.8952655143690288
",0.9022463429373355
32,ALL,125,50,0.9601767066438491,"0.8441373386088268
",0.902157022626338
56,ALL,200,50,0.970262138162081,"0.8319439816742209
",0.9011030599181509
120,ALL,70,40,0.9335534160959333,"0.8675624739691246
",0.900557945032529
95,ALL,40,90,0.8802370034052162,"0.920564348188293
",0.9004006757967546
102,ALL,50,60,0.9074832687244204,"0.8929768846314153
",0.9002300766779179
48,ALL,175,50,0.9695115943621924,"0.8284933361098774
",0.8990024652360349
110,ALL,60,40,0.9232289408642624,"0.8746449396084617
",0.8989369402363621
77,ALL,30,100,0.8569658765125197,"0.9396371303624246
",0.8983015034374722
92,ALL,40,60,0.888304366668515,"0.9080076009996336
",0.8981559838340742
74,ALL,250,50,0.9733840896320981,"0.8223797376092569
",0.8978819136206775
137,ALL,80,30,0.9432325717894807,"0.8522183465221994
",0.8977254591558401
40,ALL,150,50,0.9661946440993529,"0.8263879633485255
",0.8962913037239392
147,ALL,90,30,0.9491228281715425,"0.8428915035401155
",0.8960071658558291
85,ALL,30,90,0.8571426276170948,"0.9324937526031623
",0.8948181901101285
100,ALL,50,40,0.9067117919910415,"0.8827540608079921
",0.8947329263995167
119,ALL,70,30,0.9361220648823526,"0.8528233027904218
",0.8944726838363872
109,ALL,60,30,0.9249353734375481,"0.8594497084547464
",0.8921925409461473
84,ALL,30,80,0.8542867825898014,"0.9282731153686697
",0.8912799489792356
83,ALL,30,70,0.8582457877791747,"0.9220512286548035
",0.8901485082169891
59,ALL,20,100,0.8339348353802083,"0.9439415868389125
",0.8889382111095604
91,ALL,40,50,0.8801041264978682,"0.8955721574344215
",0.8878381419661449
90,ALL,40,40,0.8864911503606252,"0.887949291961689
",0.8872202211611571
99,ALL,50,30,0.9063040133708871,"0.8668310079133223
",0.8865675106421047
5,ALL,100,20,0.9558617664312077,"0.8158798417325482
",0.8858708040818779
82,ALL,30,60,0.8539285894278008,"0.9132174094128054
",0.8835729994203031
67,ALL,20,90,0.8271333645968783,"0.9380492503124613
",0.8825913074546698
66,ALL,20,80,0.8307170316476541,"0.9341769054561582
",0.8824469685519061
136,ALL,80,20,0.9440515465564565,"0.8198146605580326
",0.8819331035572446
146,ALL,90,20,0.949845103050588,"0.8126697209495426
",0.8812574120000654
81,ALL,30,50,0.8558283828877288,"0.9057059558517727
",0.8807671693697507
89,ALL,40,30,0.889744731685296,"0.8666878384006249
",0.8782162850429605
118,ALL,70,20,0.9367472595634502,"0.8193872344855662
",0.8780672470245081
108,ALL,60,20,0.9245206114576086,"0.8247391711786115
",0.8746298913181101
65,ALL,20,70,0.8214315692274772,"0.9268278842149975
",0.8741297267212373
64,ALL,20,60,0.8253241280521102,"0.9201967930030032
",0.8727604605275567
80,ALL,30,40,0.8504795822007851,"0.8930055185339638
",0.8717425503673745
63,ALL,20,50,0.8322794146042489,"0.9079357559350847
",0.8701075852696668
