,0,1,2,3,4,5,6,7,8,9
8086,72,2,23,91,25,17,71,20,72,63
51166,11,64,92,47,11,93,84,72,39,87
195827,50,23,88,61,96,27,9,13,78,29
79719,72,58,72,68,1,86,72,10,34,10
22848,87,67,67,49,22,21,97,53,57,97
28971,86,34,4,11,66,96,62,60,77,97
14,74,17,27,81,47,74,8,36,11,65
16,28,63,80,31,81,22,16,80,19,86
132949,43,76,9,61,49,97,96,67,23,51
60496,43,0,37,97,38,11,74,19,13,51
10157,64,70,21,54,64,61,4,18,45,57
26574,22,85,57,38,89,80,96,79,5,34
18,85,66,40,4,91,5,59,62,3,94
23461,60,19,95,88,23,21,97,37,42,30
22,55,79,28,7,19,53,46,66,80,21
10057,92,17,17,29,40,80,55,36,75,29
5825,22,36,68,2,1,76,10,69,86,28
5826,67,94,25,17,48,79,91,88,35,49
6059,68,28,70,59,73,64,87,13,26,68
23,61,21,72,34,89,13,20,48,75,0
10061,43,57,57,73,89,80,54,63,25,10
25864,6,31,67,49,59,23,8,75,70,30
11057,65,27,25,26,50,12,11,88,58,17
10006,71,47,28,86,56,63,28,57,90,93
10152,32,13,35,71,66,6,75,74,33,5
25,60,89,17,4,67,86,42,19,73,4
3983,49,89,90,0,65,86,42,69,96,48
29,39,55,45,32,71,8,49,14,51,36
29777,72,72,72,60,10,5,41,56,71,29
30,34,32,22,86,52,33,18,98,4,66
10449,33,89,10,68,25,13,41,56,18,42
80724,59,88,32,11,52,75,92,41,52,45
34,67,10,27,17,22,45,91,32,70,49
36,5,8,17,55,14,13,55,69,18,65
37,44,87,30,11,27,42,39,41,63,61
23527,98,36,82,73,20,68,67,42,74,6
38,67,94,25,17,32,12,52,32,58,55
39,61,58,68,21,14,52,55,16,96,65
64746,97,30,80,87,45,2,37,17,4,86
91452,38,77,73,70,44,81,10,38,86,62
84320,0,41,94,12,29,62,68,30,49,92
65057,21,41,94,60,91,62,63,73,31,23
55331,36,10,41,75,36,85,68,79,39,18
22985,38,31,78,35,14,23,20,36,26,44
47,59,12,89,69,13,46,43,93,23,47
48,33,37,10,55,12,66,66,1,93,35
50,90,75,45,23,95,8,79,72,39,45
55856,78,92,90,68,20,18,55,92,74,10
10965,75,31,34,21,72,30,6,15,11,65
11332,44,36,57,21,20,80,80,42,43,2
10005,73,6,48,20,52,28,48,72,29,22
23597,86,34,50,16,66,96,50,74,1,5
51,75,1,53,4,44,44,45,63,43,65
52,0,31,94,50,9,81,36,30,42,91
53,86,34,50,16,4,96,50,74,1,5
2181,58,58,91,90,23,45,89,53,11,98
2182,90,81,86,29,40,45,80,36,47,59
79611,30,36,20,95,47,13,93,63,78,62
60,22,62,57,85,20,25,96,29,57,28
71,59,29,97,3,69,74,98,41,3,14
