,0,1,2,3,4,5,6,7,8,9
8086,17,28,23,32,35,37,16,35,26,12
51166,35,9,22,15,2,7,32,2,8,26
195827,21,6,23,1,19,21,2,15,3,28
79719,35,35,26,3,30,3,29,33,8,15
22848,9,10,27,35,15,12,6,7,18,27
28971,19,20,10,38,10,19,25,21,39,36
14,14,29,29,28,38,6,18,17,38,24
16,4,0,0,17,29,36,7,10,36,34
132949,8,39,34,36,30,33,29,2,8,26
60496,4,14,15,36,30,4,15,5,2,29
10157,31,21,28,37,21,17,10,4,4,4
26574,2,12,0,10,19,37,23,23,24,32
18,37,23,13,12,32,2,0,5,35,33
23461,25,3,38,34,38,17,9,1,38,24
22,18,38,20,26,29,35,1,10,17,18
10057,37,39,26,31,32,24,14,2,2,15
5825,30,37,22,15,2,7,15,3,2,29
5826,20,38,24,23,29,20,23,30,17,34
6059,8,14,22,39,22,3,22,5,2,27
23,5,30,4,0,23,8,17,28,14,16
10061,30,4,22,36,30,0,15,3,28,29
25864,35,23,10,12,10,19,25,39,24,26
11057,2,33,4,5,5,38,17,28,26,32
10006,4,14,32,3,0,2,14,0,8,26
10152,28,37,8,2,17,18,20,19,1,1
25,30,37,15,15,2,18,20,3,28,1
3983,35,35,13,12,1,33,29,11,8,33
29,35,35,32,31,39,3,32,33,36,34
29777,38,31,35,21,25,29,24,26,31,13
30,20,38,24,27,39,20,1,22,17,23
10449,9,5,0,12,0,5,5,33,13,35
80724,15,5,0,17,1,21,23,23,36,35
34,8,39,13,39,33,4,32,33,35,10
36,28,37,8,2,17,18,20,19,1,1
37,29,1,39,12,28,5,14,11,16,39
23527,35,14,32,36,28,7,32,2,8,26
38,30,9,22,12,2,0,3,16,28,29
39,34,17,39,5,18,23,21,14,25,32
64746,21,5,0,10,1,33,26,23,13,35
91452,8,16,18,35,33,4,32,5,18,27
84320,13,3,36,34,38,6,9,17,38,24
65057,1,36,14,16,24,39,33,36,19,7
55331,4,1,1,6,22,24,28,38,35,29
