,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
14,ALL,100,80,0.9214959502395791,"0.8904753227822192
",0.9059856365108991
68,ALL,250,100,0.9533161788495929,"0.858248125780865
",0.905782152315229
115,ALL,60,90,0.8947535320193151,"0.9165379008747283
",0.9056457164470217
120,ALL,70,40,0.9191990656492337,"0.8916800291545497
",0.9054395474018917
133,ALL,75,75,0.9083713682069231,"0.9020496668055655
",0.9052105175062444
126,ALL,75,100,0.9022750526804748,"0.9078847355269688
",0.9050798941037218
114,ALL,60,80,0.8961259647795756,"0.9138166389005611
",0.9049713018400684
141,ALL,80,70,0.9149673851499859,"0.8940889212828549
",0.9045281532164204
135,ALL,80,100,0.8997211354227013,"0.9090379008747295
",0.9043795181487153
143,ALL,80,90,0.9069058984548406,"0.9017305289463392
",0.9043182137005898
45,ALL,175,175,0.9263962814079109,"0.881793002915472
",0.9040946421616914
113,ALL,60,70,0.894089605128054,"0.9119372136610575
",0.9030134093945558
123,ALL,70,70,0.906438111292407,"0.8995626822158037
",0.9030003967541054
122,ALL,70,60,0.9034628776347603,"0.9024973969180091
",0.9029801372763847
112,ALL,60,60,0.8974814233236086,"0.9078076842982842
",0.9026445538109464
142,ALL,80,80,0.9105670450675772,"0.8942456268221987
",0.902406335944888
137,ALL,80,30,0.9330868468109708,"0.8716206788837803
",0.9023537628473755
54,ALL,200,200,0.9277498675898025,"0.8767008538109202
",0.9022253607003614
94,ALL,40,80,0.8748242273154769,"0.9293945231154815
",0.9021093752154792
140,ALL,80,60,0.915115084677272,"0.8886542065806076
",0.9018846456289398
42,ALL,175,100,0.9460463731747276,"0.857646293211101
",0.9018463331929143
152,ALL,90,80,0.9157547890314902,"0.8875463348605075
",0.9016505619459989
110,ALL,60,40,0.9096119703865535,"0.8924593919200579
",0.9010356811533057
124,ALL,70,80,0.9001759439141209,"0.9013051853395162
",0.9007405646268185
2,ALL,100,125,0.9136246026574512,"0.8878534985423134
",0.9007390505998822
93,ALL,40,70,0.8759564236180412,"0.925249375260404
",0.9006028994392226
153,ALL,90,90,0.9135736702829386,"0.8875624739691927
",0.9005680721260656
50,ALL,200,100,0.9507664222100757,"0.8497126197416959
",0.9002395209758858
103,ALL,50,70,0.8867754227542097,"0.9135349854228284
",0.900155204088519
111,ALL,60,50,0.9039620854688369,"0.896096418159145
",0.900029251813991
28,ALL,125,150,0.9161168048939747,"0.8830076009996094
",0.899562202946792
102,ALL,50,60,0.8861756528883363,"0.9105221782591354
",0.8983489155737359
15,ALL,100,90,0.9192769360453903,"0.8760542482298985
",0.8976655921376444
1,ALL,100,100,0.9139406963677991,"0.8811703456893102
",0.8975555210285546
119,ALL,70,30,0.9213707238796481,"0.8730643481882443
",0.8972175360339463
77,ALL,30,100,0.8505897038842923,"0.9432403165349146
",0.8969150102096035
92,ALL,40,60,0.8756828925027251,"0.9158678675552794
",0.8957753800290023
34,ALL,150,100,0.9392577103903919,"0.8516883590170017
",0.8954730347036968
101,ALL,50,50,0.8889016702162522,"0.9004321116202123
",0.8946668909182323
26,ALL,125,100,0.9294497236890357,"0.8582392753019037
",0.8938444994954697
5,ALL,100,20,0.9478242210304852,"0.8378373594335181
",0.8928307902320016
145,ALL,90,100,0.9119565782789821,"0.8734933361099463
",0.8927249571944642
85,ALL,30,90,0.8542707085110762,"0.9297787380259525
",0.8920247232685143
84,ALL,30,80,0.8517303848689519,"0.9295819450230273
",0.8906561649459896
91,ALL,40,50,0.8748434541981681,"0.9059074344023995
",0.8903754443002838
109,ALL,60,30,0.907893321111101,"0.8725905872552967
",0.8902419541831988
72,ALL,250,200,0.9355275405636762,"0.8442628071636089
",0.8898951738636425
100,ALL,50,40,0.8894849076593065,"0.889446584756363
",0.8894657462078348
83,ALL,30,70,0.8510915430583713,"0.9248776551437983
",0.8879845991010848
146,ALL,90,20,0.9422473824041953,"0.829710016659679
",0.8859786995319372
99,ALL,50,30,0.8943701466803695,"0.8765316534777189
",0.8854509000790443
82,ALL,30,60,0.8520105849507001,"0.9181101624324135
",0.8850603736915568
69,ALL,250,125,0.9487340775324195,"0.8195163473552016
",0.8841252124438106
44,ALL,175,150,0.9301677046341664,"0.8376780508120882
",0.8839228777231274
136,ALL,80,20,0.9348154113353878,"0.8308866097458915
",0.8828510105406396
90,ALL,40,40,0.8691038546449471,"0.8959131611828826
",0.8825085079139148
27,ALL,125,125,0.9188916961327392,"0.8435334235734333
",0.8812125598530862
43,ALL,175,125,0.9376794184615064,"0.8235818408995554
",0.8806306296805309
81,ALL,30,50,0.8474876174916595,"0.9117586422324879
",0.8796231298620737
118,ALL,70,20,0.9290527398518638,"0.8291316118283578
",0.8790921758401108
89,ALL,40,30,0.8793317433755905,"0.8758433985839146
",0.8775875709797525
51,ALL,200,125,0.9439446508754665,"0.8112036651394705
",0.8775741580074685
67,ALL,20,90,0.8102152150559815,"0.9407986255727956
",0.8755069203143886
36,ALL,150,150,0.9237955503165324,"0.8262755102039986
",0.8750355302602655
108,ALL,60,20,0.9164354571131516,"0.8309261765930418
",0.8736808168530967
80,ALL,30,40,0.8534750222373263,"0.8930669512703345
",0.8732709867538304
59,ALL,20,100,0.8019914464581929,"0.9441576426490329
",0.8730745445536129
35,ALL,150,125,0.9296272110351923,"0.8148708871302937
",0.872249049082743
53,ALL,200,175,0.9316571930161659,"0.8081091211994433
",0.8698831571078046
98,ALL,50,20,0.9010923609490167,"0.8335537276134389
",0.8673230442812279
