,0,1,2,3,4,5,6,7,8,9
8086,75,59,98,85,57,62,66,43,57,18
51166,10,28,2,30,10,91,78,39,48,23
195827,21,11,6,24,14,34,16,67,33,54
79719,33,78,27,37,96,60,50,37,99,96
22848,37,22,47,64,23,82,27,72,96,78
28971,8,80,78,77,25,4,13,92,81,41
14,34,6,98,59,37,85,21,22,86,18
16,62,28,42,30,10,91,78,39,48,23
132949,64,31,48,73,16,81,38,22,40,9
60496,0,11,52,25,55,82,10,51,33,54
10157,48,39,97,55,19,12,2,74,87,45
26574,90,23,69,93,38,6,11,12,21,56
18,91,8,95,26,49,45,30,76,66,39
22,52,93,84,98,40,40,54,87,10,27
10057,35,15,14,84,31,28,72,38,6,57
5825,62,95,39,95,52,88,86,31,1,18
5826,24,84,91,73,32,88,1,39,60,12
6059,40,71,26,19,54,46,26,83,94,67
23,31,74,55,25,90,19,42,57,32,64
10061,16,95,33,45,98,6,86,98,31,56
25864,64,95,25,73,57,62,11,89,60,21
11057,69,64,71,76,20,1,64,51,88,49
10006,89,64,28,23,23,45,72,53,34,65
10152,24,1,3,73,93,63,11,82,26,12
25,34,95,14,85,32,63,6,76,70,4
3983,85,73,51,61,72,49,94,65,51,33
29,41,24,12,0,16,79,56,1,77,81
29777,36,34,40,86,61,54,32,14,56,29
30,62,6,2,30,98,91,78,39,86,18
10449,64,84,48,73,71,25,21,43,21,81
34,90,3,33,6,91,28,35,81,54,49
36,91,15,93,49,57,8,19,40,27,11
37,13,21,32,6,91,21,35,81,30,42
23527,16,3,13,95,37,89,1,43,20,12
38,90,75,12,9,16,85,26,54,63,75
39,42,25,56,24,23,51,72,27,1,98
64746,31,29,66,78,24,26,10,30,80,57
91452,13,14,32,6,91,47,35,81,30,42
84320,61,23,16,62,59,92,21,89,86,11
65057,16,21,39,1,62,6,49,9,63,63
55331,36,25,55,25,58,44,99,32,56,86
22985,57,5,52,24,31,51,16,15,41,94
47,70,25,83,51,28,70,99,2,47,20
48,53,61,21,14,31,51,18,26,94,75
50,91,59,38,30,10,91,22,82,21,11
55856,25,36,55,51,42,54,23,49,62,60
10965,13,43,32,6,91,21,59,81,30,42
11332,59,22,34,34,55,43,76,76,97,40
10005,11,77,20,48,36,57,48,80,53,38
23597,57,25,1,76,43,86,77,15,46,88
51,62,6,42,3,9,81,20,9,31,81
52,13,14,6,6,91,21,35,76,30,63
53,51,30,4,5,5,82,66,34,37,24
2181,88,7,94,57,77,48,91,78,90,84
2182,34,24,24,60,14,43,61,99,13,94
79611,5,3,10,18,55,1,66,72,31,5
60,87,72,59,49,11,29,68,44,15,24
71,10,28,2,30,10,91,78,39,86,23
86,6,9,16,95,10,92,86,19,22,36
87,29,52,49,40,95,17,81,91,32,10
81,61,28,48,29,98,62,86,82,20,1
55860,10,28,2,30,59,91,21,39,48,72
10121,80,23,45,11,67,89,6,98,97,40
10120,6,75,48,95,2,32,74,19,70,30
10097,75,6,2,30,10,91,21,19,48,23
10096,75,6,16,30,37,88,21,39,48,18
64431,62,84,42,30,10,81,21,39,22,72
93973,24,75,24,30,9,92,20,19,70,1
91,38,65,45,46,16,79,33,5,77,44
92,13,14,32,49,91,47,59,42,30,42
93,82,86,24,92,32,47,47,34,20,63
97,10,6,42,30,47,91,21,82,20,23
98,5,64,75,60,93,93,31,72,66,12
161823,10,59,2,9,9,91,14,98,1,18
102,75,1,24,59,98,85,30,39,60,67
6868,62,27,35,82,47,92,66,19,26,56
8754,90,75,98,29,62,32,11,42,60,40
9510,59,72,76,64,78,18,75,93,41,80
103,59,32,65,49,23,18,8,98,66,91
23536,91,75,2,30,59,88,74,9,21,36
118,26,5,89,23,6,86,45,88,44,83
120,63,77,50,48,12,57,44,80,53,62
166647,59,21,76,6,14,21,75,81,1,5
22859,38,14,12,92,78,47,76,1,30,9
23266,25,17,57,7,26,60,23,58,69,64
23284,42,3,80,11,38,50,64,93,94,49
84059,60,57,21,76,3,11,64,97,36,37
128,86,86,59,88,54,29,30,44,96,52
55256,34,84,98,70,9,88,49,89,40,67
51094,65,57,8,39,38,97,27,18,41,19
79602,61,23,38,73,32,32,6,94,97,40
132,53,89,76,60,21,45,65,94,94,30
23394,60,14,32,88,23,47,35,61,9,42
22850,52,42,84,10,21,40,19,28,10,27
84890,21,0,60,70,21,2,56,54,77,39
83440,42,11,80,71,23,55,18,27,34,65
11047,22,14,74,6,84,58,19,40,36,24
158,4,11,93,32,23,68,16,70,6,13
159,19,76,85,35,15,73,62,60,16,90
121536,85,22,51,61,38,3,37,24,3,88
166,40,61,47,60,5,65,68,51,94,49
60312,77,39,97,50,64,83,29,41,43,93
4301,65,67,83,4,24,60,42,10,80,7
27125,11,77,20,48,36,57,48,12,75,38
172,10,75,2,82,47,92,14,19,31,81
10939,50,7,79,55,76,27,85,3,11,68
54812,46,57,66,67,7,9,42,58,28,69
175,75,6,24,1,98,88,47,89,22,8
116987,6,89,98,54,31,63,6,34,63,40
60509,10,1,46,30,10,88,14,39,26,23
3267,82,27,69,41,52,46,26,52,83,80
55109,62,6,48,85,67,81,22,98,20,11
178,61,59,42,30,10,91,22,39,63,18
26523,75,28,24,3,98,91,21,39,70,18
27161,68,89,6,42,14,22,61,55,9,75
192669,41,31,26,46,16,14,33,1,14,44
192670,23,83,37,66,4,90,5,48,38,3
10554,13,14,32,6,93,47,35,81,30,42
56895,90,3,95,24,14,82,61,61,96,54
55326,42,16,75,11,52,11,47,52,45,4
8540,19,76,85,35,15,73,62,75,16,90
23287,45,97,90,38,43,44,79,2,46,83
57085,89,42,71,34,24,68,10,53,37,37
25909,86,31,23,46,44,32,49,43,21,9
191,75,1,46,30,59,91,20,9,21,72
10768,90,23,35,9,55,25,66,89,97,1
54806,10,1,2,62,98,10,22,31,70,18
10598,60,64,14,32,22,50,72,38,6,13
130872,22,16,28,23,38,43,10,85,34,48
9131,55,89,20,3,71,32,48,80,75,17
51390,59,47,76,93,23,61,90,18,66,67
9255,11,77,20,48,36,57,48,80,75,62
7965,64,95,95,19,9,62,21,22,86,81
9049,63,99,50,40,12,57,44,88,53,62
84962,83,89,15,32,63,3,18,51,13,37
204,59,14,32,49,16,22,35,61,30,42
50808,60,72,33,18,32,82,6,96,97,40
205,27,32,39,62,9,62,49,19,96,56
102157402,73,43,4,23,6,21,59,7,54,31
11216,5,71,76,11,97,13,8,13,6,35
11215,38,65,93,46,16,92,38,42,57,44
9590,91,91,42,59,62,63,22,19,26,18
11214,26,70,68,20,28,77,93,62,44,70
8227,63,20,50,48,12,74,44,66,53,77
10270,38,0,0,0,16,2,33,1,14,44
26993,42,10,26,49,52,50,18,7,96,72
