,0,1,2,3,4,5,6,7,8,9
8086,33,38,29,3,37,16,30,0,37,28
51166,4,4,33,33,36,38,39,15,24,1
195827,33,32,13,29,26,13,15,23,37,30
79719,20,13,24,15,8,7,37,1,4,7
22848,20,19,36,36,28,5,27,9,32,26
28971,9,5,35,24,30,14,39,21,24,34
14,15,11,5,31,18,35,9,2,6,31
16,5,32,34,19,26,17,4,23,17,29
132949,14,28,7,5,21,28,12,13,12,27
60496,11,12,13,6,2,24,23,7,37,17
10157,13,3,25,33,16,31,30,37,3,15
26574,34,24,19,20,29,6,0,37,7,11
18,33,32,4,29,2,1,30,3,3,35
23461,2,12,10,0,2,24,22,29,37,17
10351,2,12,3,0,38,10,1,20,8,0
22,11,12,13,6,38,10,22,7,8,17
10057,3,5,7,19,9,2,33,2,25,13
5825,11,15,10,6,4,24,1,7,37,17
5826,3,29,28,5,29,28,33,26,34,9
6059,33,1,10,37,39,13,15,16,1,8
23,18,37,34,37,7,17,15,34,3,4
10061,4,4,33,3,36,38,28,15,37,29
9619,14,29,7,19,24,28,29,34,9,4
25864,9,5,35,14,30,14,28,10,24,34
11057,1,28,34,28,7,28,9,8,25,7
10006,8,13,24,15,8,7,37,1,4,10
10152,13,3,29,3,11,32,23,17,13,15
25,18,9,2,25,1,32,29,16,3,30
3983,17,8,38,21,19,4,2,6,36,23
29,33,9,25,37,11,32,23,17,13,15
29777,21,0,19,38,27,18,11,24,28,11
30,5,1,25,10,26,1,30,3,13,15
10449,39,35,36,39,28,4,27,9,32,37
80724,4,4,33,14,36,38,28,15,5,16
34,24,26,18,24,12,1,30,5,20,6
36,22,34,36,11,28,5,27,9,32,26
37,11,9,10,6,4,32,22,7,8,8
23527,11,32,2,6,2,13,23,16,1,17
38,15,20,1,13,24,0,7,8,34,21
39,9,26,35,33,30,14,39,21,24,6
64746,2,15,3,0,38,10,1,20,8,0
91452,18,28,9,19,7,3,4,19,9,7
84320,1,5,9,7,7,23,4,32,25,7
65057,2,12,13,6,4,24,22,7,8,17
55331,21,18,19,38,15,18,14,34,7,11
22985,34,14,38,4,6,25,26,24,34,31
47,29,29,28,19,7,35,33,13,25,11
48,11,12,13,37,2,32,22,29,37,8
50,15,20,1,13,24,27,9,19,10,9
55856,2,15,3,0,38,10,1,20,8,0
10965,1,37,7,32,1,3,15,32,21,28
11332,11,9,10,3,39,32,15,29,3,35
10005,33,37,4,25,2,13,15,16,20,30
23597,14,14,7,32,15,6,4,32,12,25
51,1,37,27,12,26,23,12,16,21,4
52,23,24,15,17,17,20,26,6,12,25
53,10,37,34,28,18,23,4,23,12,11
2181,2,12,3,0,38,32,1,20,8,0
2182,0,21,36,11,6,6,39,21,35,23
79611,11,9,13,6,4,24,23,7,37,17
60,39,7,6,26,3,37,3,36,11,32
71,13,12,10,6,4,24,22,17,37,17
86,29,37,7,37,1,17,29,23,17,29
87,11,12,10,6,38,24,1,20,8,0
81,5,9,10,3,39,13,15,7,37,8
55860,14,38,7,32,6,28,31,32,9,27
10121,2,15,3,0,38,10,1,20,8,0
10120,2,15,3,6,38,24,1,7,8,0
10097,17,0,26,20,27,18,11,24,28,27
10096,1,37,9,25,1,13,15,23,20,35
64431,5,37,4,32,26,13,31,0,13,28
93973,17,21,20,31,18,2,9,13,9,38
91,13,37,27,29,1,13,29,0,21,30
92,4,4,28,14,36,38,0,10,5,16
93,29,32,34,29,26,27,23,8,17,29
