,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
110,ALL,60,40,0.9209910306039546,"0.8733738703524836
",0.8971824504782191
93,ALL,40,70,0.8808315084498557,"0.9127409949085011
",0.8967862516791785
8,ALL,100,30,0.9517693105800664,"0.8413230162351505
",0.8965461634076084
10,ALL,100,50,0.9484280007481476,"0.8446207532425608
",0.8965243769953541
137,ALL,80,30,0.9427779457509824,"0.848771245950115
",0.8957745958505487
32,ALL,125,50,0.9589858742336398,"0.8316047134991241
",0.895295293866382
119,ALL,70,30,0.9348239544033812,"0.8553679648636662
",0.8950959596335237
120,ALL,70,40,0.9320812849373596,"0.8570286599062279
",0.8945549724217938
92,ALL,40,60,0.884896091383827,"0.903707386530326
",0.8943017389570764
74,ALL,250,50,0.9702164990739017,"0.8180997397391918
",0.8941581194065468
40,ALL,150,50,0.9629375036045383,"0.8240407081927215
",0.8934891058986298
101,ALL,50,50,0.9035259869676926,"0.8833800559436226
",0.8934530214556575
147,ALL,90,30,0.9474163564710335,"0.8390059482831558
",0.8932111523770947
48,ALL,175,50,0.9668191990934536,"0.8192761691359537
",0.8930476841147037
77,ALL,30,100,0.8460976520023431,"0.9382352780994888
",0.892166465050916
100,ALL,50,40,0.9042836188271631,"0.8796939105005233
",0.8919887646638431
91,ALL,40,50,0.8870742727416572,"0.8932197363158083
",0.8901470045287327
109,ALL,60,30,0.9194016454425611,"0.8593043349720894
",0.8893529902073252
85,ALL,30,90,0.8485848896730007,"0.9295262770919607
",0.8890555833824807
99,ALL,50,30,0.9092676551595213,"0.8666308758262069
",0.8879492654928641
84,ALL,30,80,0.8462406861433118,"0.9272975969570637
",0.8867691415501877
5,ALL,100,20,0.9531724040515664,"0.8170761216741922
",0.8851242628628793
83,ALL,30,70,0.8463304808928482,"0.9229071499994798
",0.884618815446164
75,ALL,250,75,0.9661850550572801,"0.8002366863913438
",0.883210870724312
90,ALL,40,40,0.881589073217186,"0.8833536018434305
",0.8824713375303083
82,ALL,30,60,0.849066097892629,"0.9117973615934638
",0.8804317297430464
59,ALL,20,100,0.8155134088607435,"0.9449272317736765
",0.8802203203172101
146,ALL,90,20,0.9480184638181655,"0.8101616423336987
",0.879090053075932
67,ALL,20,90,0.8219655705054667,"0.9351056024346371
",0.8785355864700519
136,ALL,80,20,0.943090690358961,"0.8122829499442943
",0.8776868201516277
81,ALL,30,50,0.8462731576218129,"0.9057642706263865
",0.8760187141240997
89,ALL,40,30,0.8834006876637336,"0.8677817847969134
",0.8755912362303235
118,ALL,70,20,0.9338651347701993,"0.8159164984117526
",0.8748908165909759
80,ALL,30,40,0.849790422677998,"0.8942558033691932
",0.8720231130235956
66,ALL,20,80,0.8109338723531594,"0.9322280187832468
",0.8715809455682031
65,ALL,20,70,0.8179516173521636,"0.9240621048914212
",0.8710068611217924
108,ALL,60,20,0.9227998045419676,"0.8169575450604705
",0.869878674801219
98,ALL,50,20,0.9085734728173221,"0.8240183000137771
",0.8662958864155497
64,ALL,20,60,0.8159946362492472,"0.9165068138769162
",0.8662507250630818
63,ALL,20,50,0.8148536288440004,"0.907483787138841
",0.8611687079914208
79,ALL,30,30,0.8500403912993029,"0.8692071939601211
",0.859623792629712
23,ALL,10,70,0.7890525200610607,"0.927516699151688
",0.8582846096063743
88,ALL,40,20,0.886956767400169,"0.8238340549866126
",0.8553954111933908
62,ALL,20,40,0.8075288716441702,"0.8988653525213088
",0.8531971120827395
22,ALL,10,60,0.7768404918580519,"0.919518535377528
",0.84817951361779
61,ALL,20,30,0.8104013102787683,"0.8739290952319394
",0.8421652027553539
78,ALL,30,20,0.8486326990024923,"0.8294703344508958
",0.8390515167266941
17,ALL,10,100,0.7264777347031363,"0.9442114149450169
",0.8353445748240766
25,ALL,10,90,0.727007383956601,"0.9377145991628831
",0.8323609915597421
24,ALL,10,80,0.7296066568134996,"0.9334112951235892
",0.8315089759685443
21,ALL,10,50,0.7458101180139757,"0.9068607152732088
",0.8263354166435922
60,ALL,20,20,0.8167278955497356,"0.8288444615628604
",0.822786178556298
144,ALL,90,10,0.9489857518091998,"0.6850181871945542
",0.817001969501877
0,ALL,100,10,0.9552818173499779,"0.6783685600806543
",0.8168251887153161
134,ALL,80,10,0.9436824263838547,"0.6787790654706808
",0.8112307459272677
116,ALL,70,10,0.9374842919741678,"0.6834321860819058
",0.8104582390280368
20,ALL,10,40,0.7172235449025742,"0.8964406008203948
",0.8068320728614845
106,ALL,60,10,0.9271458403705939,"0.6864582239190429
",0.8068020321448184
19,ALL,10,30,0.725293301585531,"0.8738487992573191
",0.7995710504214251
96,ALL,50,10,0.9126168208135474,"0.6842703142209252
",0.7984435675172363
86,ALL,40,10,0.8866662571327413,"0.6885147967903645
",0.7875905269615529
18,ALL,10,20,0.7399680973325636,"0.8254546020419684
",0.782711349687266
76,ALL,30,10,0.8525515362443691,"0.687508918533686
",0.7700302273890276
58,ALL,20,10,0.8028097052516779,"0.6843132632305594
",0.7435614842411187
16,ALL,10,10,0.7254874107459656,"0.6778734015699723
",0.7016804061579689
