,Net_comb,k1,k2,dispersionCoefG1,dispersionCoefG2,DispCoeff_avg
31,ALL,125,250,0.9603611257106218,"0.9662334881702377
",0.9632973069404298
39,ALL,150,250,0.9642624435883429,"0.9605370881122801
",0.9623997658503115
73,ALL,250,250,0.9695895876188274,"0.9532528306003688
",0.9614212091095982
7,ALL,100,250,0.952709289526324,"0.9675655029764613
",0.9601373962513926
47,ALL,175,250,0.9656783420507089,"0.9537423791560744
",0.9597103606033917
55,ALL,200,250,0.9676499940321622,"0.9511512919155741
",0.9594006429738682
38,ALL,150,200,0.965320219538592,"0.9506624691546808
",0.9579913443466364
54,ALL,200,200,0.9686605486871203,"0.9422461532889264
",0.9554533509880233
46,ALL,175,200,0.9679099269670342,"0.9420398461325824
",0.9549748865498082
30,ALL,125,200,0.9597954715162237,"0.9494309769207369
",0.9546132242184803
6,ALL,100,200,0.953258567022895,"0.95397953258913
",0.9536190498060125
131,ALL,75,250,0.9388158580001912,"0.966853679780078
",0.9528347688901346
29,ALL,125,175,0.96088458139125,"0.944517890841564
",0.952701236116407
44,ALL,175,150,0.9689380432555974,"0.9335266366683913
",0.9512323399619944
72,ALL,250,200,0.9712589202801131,"0.9305138626808173
",0.9508863914804652
45,ALL,175,175,0.9680975633645578,"0.932671469009763
",0.9503845161871605
37,ALL,150,175,0.9654339348652018,"0.9346944404135052
",0.9500641876393535
36,ALL,150,150,0.9665278108900832,"0.9325751197573934
",0.9495514653237382
53,ALL,200,175,0.9698864826253448,"0.9290308825676816
",0.9494586825965132
4,ALL,100,175,0.9532662807827241,"0.9444277108445002
",0.9488469958136121
130,ALL,75,200,0.9396175419343493,"0.9571305704755707
",0.9483740562049601
52,ALL,200,150,0.9712959376044191,"0.9250644142849717
",0.9481801759446954
28,ALL,125,150,0.9615446806331704,"0.9344576498778673
",0.9480011652555189
129,ALL,75,175,0.9413726266216538,"0.9545396646837966
",0.9479561456527252
3,ALL,100,150,0.9529762958641811,"0.9411609086961907
",0.947068602280186
70,ALL,250,150,0.9726692569021389,"0.9199105457990169
",0.9462899013505779
71,ALL,250,175,0.9725395823707427,"0.9170329510828087
",0.9447862667267757
27,ALL,125,125,0.9616392251428153,"0.9263915299767052
",0.9440153775597602
43,ALL,175,125,0.9694931551892042,"0.9184373639149314
",0.9439652595520678
26,ALL,125,100,0.9625102690557106,"0.9241753157221217
",0.9433427923889162
35,ALL,150,125,0.9657566787014573,"0.9204447307315857
",0.9431007047165215
2,ALL,100,125,0.9538793435282281,"0.9320142618680507
",0.9429468026981394
57,ALL,200,75,0.9733177271777853,"0.9124530047917917
",0.9428853659847884
50,ALL,200,100,0.9718536207906416,"0.9135567571505973
",0.9427051889706195
33,ALL,125,75,0.9633010804174911,"0.9220554507199634
",0.9426782655687272
127,ALL,75,125,0.9420478580688109,"0.9424080055171948
",0.9422279317930029
69,ALL,250,125,0.9742175478840288,"0.9097935113964899
",0.9420055296402594
49,ALL,175,75,0.9709768247107404,"0.9124687908274784
",0.9417228077691094
128,ALL,75,150,0.9406878733104657,"0.9426297358118757
",0.9416588045611707
51,ALL,200,125,0.9711637918950601,"0.9112583466410838
",0.941211069268072
14,ALL,100,80,0.9569689392748922,"0.924965343302328
",0.9409671412886101
